番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),383,25
2,ほぼ変わらない（±5%未満）,636,41.5
3,少し減少した（5-20%未満）,325,21.2
4,かなり減少した（20%以上）,189,12.3
全体,,1533,100
