番号,項目,回答数（人）,回答数（％）
1,電話,30310,73.3
2,メール,32535,78.7
3,インターネット検索,32246,78.0
4,写真・動画撮影,26924,65.1
5,メッセンジャーアプリ※１,26856,65.0
6,生活関連アプリ※２,24245,58.7
7,趣味・娯楽アプリ※５,20204,48.9
8,ショッピングアプリ※４,20416,49.4
9,スマホ決済※３,20657,50.0
10,その他,153,0.4
11,スマートフォンを保有していない,2387,5.8
全体,,41330,100
