X（m）,Y（m）,経度（度）,緯度（度）,到達時間（1cm）（秒）,到達時間（30cm）（秒）,到達時間（1m）（秒）,到達時間（最高水位）（秒）
-50775,-162645,139.28020187,34.53261063,900.6,-9999.0,-9999.0,909.2
-50765,-162645,139.28031081,34.53261112,890.6,900.9,-9999.0,907.7
-50755,-162645,139.28041974,34.53261162,885.8,898.0,-9999.0,909.6
-50745,-162645,139.28052867,34.53261211,884.6,896.6,-9999.0,909.7
-50735,-162645,139.28063761,34.53261260,885.7,895.2,-9999.0,909.7
-50535,-162645,139.28281627,34.53262244,852.6,863.1,879.8,909.6
-50525,-162645,139.28292521,34.53262293,0.2,0.6,1.0,908.9
-50775,-162655,139.28020247,34.53252048,891.6,898.2,-9999.0,909.8
-50765,-162655,139.28031140,34.53252097,891.4,899.2,-9999.0,906.2
-50755,-162655,139.28042034,34.53252147,884.4,890.8,904.6,910.1
-50745,-162655,139.28052927,34.53252196,47.3,873.8,885.4,910.1
-50735,-162655,139.28063820,34.53252245,0.2,0.7,1.2,910.2
-50535,-162655,139.28281687,34.53253229,4.4,5.9,871.1,906.6
-50525,-162655,139.28292580,34.53253278,0.2,0.8,1.4,908.0
-50775,-162665,139.28020307,34.53243033,889.7,895.4,-9999.0,907.1
-50765,-162665,139.28031200,34.53243082,891.9,898.6,-9999.0,911.1
-50755,-162665,139.28042093,34.53243132,886.7,894.0,908.4,911.8
-50745,-162665,139.28052987,34.53243181,48.1,874.6,886.1,910.8
-50735,-162665,139.28063880,34.53243230,0.2,0.8,1.4,910.8
-50535,-162665,139.28281746,34.53244214,867.0,872.3,888.2,905.4
-50525,-162665,139.28292639,34.53244263,5.1,869.6,886.0,906.9
-50775,-162675,139.28020366,34.53234018,894.2,901.7,-9999.0,914.7
-50765,-162675,139.28031260,34.53234067,892.0,900.4,912.2,915.4
-50755,-162675,139.28042153,34.53234117,887.3,894.1,907.9,916.4
-50745,-162675,139.28053046,34.53234166,873.1,877.7,889.1,913.6
-50735,-162675,139.28063939,34.53234215,0.2,0.8,1.4,912.4
-50535,-162675,139.28281805,34.53235199,876.7,881.6,895.9,905.4
-50515,-162675,139.28303592,34.53235297,8.2,10.1,866.8,912.0
-51225,-162685,139.27530229,34.53222773,90.2,803.1,857.3,901.0
-51215,-162685,139.27541122,34.53222823,807.1,830.8,866.3,902.8
-50775,-162685,139.28020426,34.53225003,904.1,910.1,-9999.0,916.3
-50765,-162685,139.28031319,34.53225052,893.6,901.3,908.2,913.4
-50755,-162685,139.28042212,34.53225102,889.2,897.2,908.8,915.1
-50745,-162685,139.28053106,34.53225151,885.1,889.3,903.4,915.8
-50735,-162685,139.28063999,34.53225200,0.2,1.0,1.9,914.4
-50535,-162685,139.28281865,34.53226184,875.8,879.8,892.8,902.6
-50515,-162685,139.28303651,34.53226282,903.8,-9999.0,-9999.0,911.4
-50505,-162685,139.28314545,34.53226331,871.2,875.9,893.8,912.3
-50495,-162685,139.28325438,34.53226381,17.3,680.2,868.8,911.8
-51275,-162695,139.27475822,34.53213509,96.3,686.1,855.0,906.9
-51265,-162695,139.27486716,34.53213559,95.7,686.7,855.7,908.1
-51255,-162695,139.27497609,34.53213609,94.4,682.3,855.8,910.0
-51235,-162695,139.27519395,34.53213708,94.2,680.4,852.3,911.1
-51225,-162695,139.27530289,34.53213758,853.8,861.8,880.7,908.3
-51215,-162695,139.27541182,34.53213808,860.8,869.8,896.0,899.2
-51205,-162695,139.27552075,34.53213857,870.9,876.6,-9999.0,900.6
-50785,-162695,139.28009592,34.53215939,-9999.0,-9999.0,-9999.0,918.1
-50775,-162695,139.28020485,34.53215988,908.7,914.1,-9999.0,917.0
-50765,-162695,139.28031379,34.53216037,894.3,901.8,907.1,911.3
-50755,-162695,139.28042272,34.53216087,889.6,897.7,908.8,913.9
-50745,-162695,139.28053165,34.53216136,885.4,889.7,902.1,915.0
-50735,-162695,139.28064059,34.53216185,0.2,0.8,1.4,914.7
-50535,-162695,139.28281924,34.53217169,877.6,880.4,892.2,900.2
-50485,-162695,139.28336390,34.53217415,678.6,775.9,871.8,910.8
-50475,-162695,139.28347284,34.53217464,25.6,709.4,869.2,899.2
-51315,-162705,139.27432310,34.53204295,862.3,866.8,-9999.0,903.7
-51305,-162705,139.27443203,34.53204344,859.1,864.8,898.9,903.4
-51295,-162705,139.27454096,34.53204394,676.3,755.1,857.1,902.6
-51285,-162705,139.27464989,34.53204444,99.1,684.9,852.3,908.2
-51275,-162705,139.27475883,34.53204494,101.2,683.8,853.3,906.9
-51265,-162705,139.27486776,34.53204544,98.4,685.9,857.2,907.8
-51255,-162705,139.27497669,34.53204594,685.0,809.4,864.9,909.4
-51245,-162705,139.27508562,34.53204643,800.3,814.6,865.7,911.1
-51235,-162705,139.27519456,34.53204693,853.6,864.6,879.0,911.2
-51225,-162705,139.27530349,34.53204743,876.1,883.6,-9999.0,916.0
-51215,-162705,139.27541242,34.53204793,885.8,-9999.0,-9999.0,911.2
-51155,-162705,139.27606602,34.53205091,87.6,683.8,863.2,908.7
-51145,-162705,139.27617495,34.53205141,86.6,683.9,862.4,909.3
-51135,-162705,139.27628388,34.53205190,86.3,686.4,861.7,911.9
-51125,-162705,139.27639281,34.53205240,84.7,86.8,862.4,912.9
-50845,-162705,139.27944292,34.53206627,59.8,706.3,867.1,900.4
-50835,-162705,139.27955186,34.53206677,699.0,799.1,876.0,900.6
-50825,-162705,139.27966079,34.53206726,872.2,877.3,886.9,906.0
-50775,-162705,139.28020545,34.53206973,909.1,-9999.0,-9999.0,916.0
-50765,-162705,139.28031438,34.53207022,894.8,901.7,906.4,910.7
-50755,-162705,139.28042332,34.53207072,889.8,897.7,907.7,913.1
-50745,-162705,139.28053225,34.53207121,885.8,889.7,901.3,913.7
-50615,-162705,139.28194837,34.53207761,25.4,27.2,870.8,910.0
-50605,-162705,139.28205730,34.53207810,17.6,27.7,871.6,908.6
-50535,-162705,139.28281983,34.53208154,9.1,874.8,885.0,900.4
-50475,-162705,139.28347343,34.53208449,872.7,876.9,893.6,907.0
-50465,-162705,139.28358236,34.53208498,716.6,866.7,873.9,904.8
-50455,-162705,139.28369129,34.53208547,27.2,710.9,870.7,901.3
-51355,-162715,139.27388797,34.53195080,839.4,845.4,866.6,905.9
-51345,-162715,139.27399690,34.53195130,849.1,854.8,871.0,904.0
-51335,-162715,139.27410583,34.53195180,892.3,898.4,-9999.0,902.2
-51285,-162715,139.27465050,34.53195429,901.7,907.4,-9999.0,909.1
-51275,-162715,139.27475943,34.53195479,863.7,870.4,902.0,905.2
-51265,-162715,139.27486836,34.53195529,866.6,872.3,903.3,908.2
-51255,-162715,139.27497729,34.53195579,855.7,864.8,875.1,908.7
-51245,-162715,139.27508622,34.53195628,853.7,864.4,875.1,909.7
-51235,-162715,139.27519516,34.53195678,867.7,873.4,907.4,910.4
-51225,-162715,139.27530409,34.53195728,876.4,882.9,-9999.0,914.2
-51215,-162715,139.27541302,34.53195778,891.0,-9999.0,-9999.0,920.0
-51195,-162715,139.27563089,34.53195877,888.8,905.3,-9999.0,910.6
-51185,-162715,139.27573982,34.53195927,92.9,815.8,864.2,908.6
-51175,-162715,139.27584875,34.53195977,697.3,820.3,865.3,910.8
-51165,-162715,139.27595768,34.53196026,699.8,821.2,866.4,908.8
-51155,-162715,139.27606662,34.53196076,820.6,831.7,869.1,909.1
-51145,-162715,139.27617555,34.53196126,861.3,867.7,872.9,913.0
-51135,-162715,139.27628448,34.53196175,863.9,870.1,874.9,911.9
-51125,-162715,139.27639341,34.53196225,860.2,865.2,874.3,912.6
-51115,-162715,139.27650235,34.53196275,86.4,805.2,866.4,912.3
-51105,-162715,139.27661128,34.53196324,85.8,88.8,864.1,910.2
-51085,-162715,139.27682914,34.53196424,84.6,687.0,864.2,911.7
-51075,-162715,139.27693807,34.53196473,83.8,687.3,864.1,912.7
-50965,-162715,139.27813633,34.53197019,72.0,668.4,860.7,904.3
-50955,-162715,139.27824526,34.53197068,673.7,826.7,874.1,904.1
-50945,-162715,139.27835420,34.53197118,831.6,857.9,880.0,904.8
