区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,77,7,56,0,1,7,7,86,9,73,0,1,1,1,5,0,5,0,0,0,0,77,7,56,0,1,7,7,86,9,73,0,1,1,1,5,0,5,0,0,0,0
13102,中央区,74,29,35,0,1,6,3,82,36,43,0,2,1,1,23,11,12,0,0,0,0,74,29,35,0,1,6,3,82,36,43,0,2,1,1,23,11,12,0,0,0,0
13103,港区,141,52,57,0,2,28,3,140,62,70,0,2,5,1,36,16,19,0,0,0,0,141,52,57,0,2,28,3,140,62,70,0,2,5,1,36,16,19,0,0,0,0
13104,新宿区,56,34,0,0,2,20,0,46,40,0,0,2,4,0,18,18,0,0,0,0,0,56,34,0,0,2,20,0,46,40,0,0,2,4,0,18,18,0,0,0,0,0
13105,文京区,53,15,0,0,1,36,0,31,19,0,0,1,11,0,13,12,0,0,0,0,0,53,15,0,0,1,36,0,31,19,0,0,1,11,0,13,12,0,0,0,0,0
13106,台東区,99,50,18,0,2,29,1,81,51,21,0,2,7,0,72,56,15,0,0,0,0,99,50,18,0,2,29,1,81,51,21,0,2,7,0,72,56,15,0,0,0,0
13107,墨田区,197,116,17,0,4,59,0,145,106,18,0,3,18,0,172,148,19,0,1,3,0,197,116,17,0,4,59,0,145,106,18,0,3,18,0,171,148,19,0,1,3,0
13108,江東区,343,240,39,0,4,58,1,307,244,44,0,3,16,0,288,247,37,0,1,2,0,343,240,39,0,4,58,1,307,244,44,0,3,16,0,288,247,37,0,1,2,0
13109,品川区,287,111,36,0,23,116,0,179,112,41,0,7,19,0,157,123,31,0,3,1,0,282,111,36,0,18,116,0,178,112,41,0,6,19,0,157,123,31,0,2,1,0
13110,目黒区,127,44,17,0,10,56,0,80,39,18,0,4,19,0,90,65,21,0,2,2,0,126,44,17,0,9,56,0,80,39,18,0,3,19,0,90,65,21,0,2,2,0
