番号,項目,回答数（人）,増加した_回答数（人）,増加した_回答数（%）,変わらない_回答数（人）,変わらない_回答数（%）,減少した_回答数（人）,減少した_回答数（%）
1,400万円未満(n=408),408,207,50.7,199,48.8,2,0.5
2,"400万円以上(n=1,467)",1467,872,59.4,592,40.4,3,0.2
全体,,1873,,,,,,
