区分,歳入総額,1特別区税,2地方譲与税,内訳・地方揮発油譲与税,内訳・地方道路譲与税,内訳・自動車重量譲与税,内訳・航空機燃料譲与税,3利子割交付金,4配当割交付金,5株式等譲渡所得割交付金,6地方消費税交付金,7ゴルフ場利用税交付金,8自動車取得税交付金,9地方特例交付金,10特別区財政調整交付金,内訳・普通交付金,内訳・特別交付金,11交通安全対策特別交付金,12分担金負担金,内訳・(1)同級他団体からのもの,内訳・(2)その他,13使用料,内訳・(1)授業料,内訳・高等学校,内訳・幼稚園,内訳・その他,内訳・(2)保育園使用料,内訳・(3)公営住宅使用料,内訳・(4)その他,14手数料,内訳・(1)法定受託事務に係るもの,内訳・(2)自治事務に係るもの,15国庫支出金,内訳・(1)生活保護費負担金,内訳・(2)児童保護費等負担金,内訳・(3)障害者自立支援給付費等負担金,内訳・(4)子どものための金銭の給付交付金,内訳・(5)公立高等学校授業料不徴収交付金,内訳・(6)普通建設事業費支出金,内訳・(7)災害復旧事業費支出金,内訳・(8)委託金,内訳・(9)財政補給金,内訳・(10)社会資本整備総合交付金,内訳・(11)がんばる地域交付金,内訳・(12)その他,16都支出金,内訳・(1)国庫財源を伴うもの,内訳・①児童保護費等負担金,内訳・②障害者自立支援給付費等負担金,内訳・③子どものための金銭の給付交付金,内訳・④普通建設事業費支出金,内訳・⑤災害復旧事業費支出金,内訳・⑥委託金,内訳・⑦石油貯蔵施設立地対策等交付金,内訳・⑧その他,内訳・(2)都費のみのもの,内訳・①普通建設事業費支出金,内訳・②災害復旧事業費支出金,内訳・③その他,17財産収入,内訳・(1)財産運用収入,内訳・(2)財産売却収入,内訳・①土地建物,内訳・②立木竹,内訳・③その他,18寄付金,19繰入金,20繰越金,内訳・(1)純繰越金,内訳・(2)繰越事業費等充当財源繰越額,21諸収入,内訳・(1)延滞金加算金及び過料,内訳・(2)預金利子,内訳・(3)貸付金元利収入,内訳・(4)受託事業収入,内訳・①同級他団体からのもの,内訳・②民間からのもの,内訳・(5)収益事業収入,内訳・(6)雑入,内訳・①一部事務組合配分金,内訳・②その他,22特別区債,区分,,,
区計,3577931053,990706389,13730084,3870540,0,9055622,803922,15156785,19147659,16117566,156888135,36954,4311337,4489104,981602646,932061471,49541175,973791,30877130,2778806,28098324,85964532,1003075,14860,988215,0,18286998,8488013,58186446,15985960,1941591,14044369,594437487,320528673,18167027,54946737,82754836,30595,10145236,0,1951510,0,46423030,271265,59218578,210435018,114087383,9851656,26604196,17838889,13471093,3750,3287955,5723,43024121,96347635,34061987,0,62285648,20560751,9008040,11552711,11334580,0,218131,5022448,167469026,110386035,95326317,15059718,73828716,3880289,36734,31279980,9834320,373690,9460630,690000,28107393,9415,28097978,59803500,計,,,
千代田区,79638320,16662524,285283,85423,0,199860,0,201610,255038,214879,9642884,0,96054,10334,6850869,4171900,2678969,19940,302999,48120,254879,3744243,103346,14860,88486,0,111729,360980,3168188,559874,44890,514984,3311078,1159685,59528,229003,437336,30595,322335,0,1500,0,618515,13933,438648,1938465,1098263,29764,126266,96266,142882,0,68326,0,634759,840202,180010,0,660192,329102,323502,5600,0,0,5600,771583,29974431,3001691,1943136,1058555,1465439,46485,1967,1005221,47615,6618,40997,30000,334151,0,334151,0,千,,,
中央区,82299667,23774768,370761,111019,0,259742,0,328786,418121,353567,8145980,0,125113,58889,12833750,11941395,892355,24406,494659,75192,419467,5303931,97244,0,97244,0,434024,1363432,3409231,729905,180682,549223,10087349,1738989,263816,365939,1183652,0,311765,0,2589,0,5432965,12064,775570,5334468,2853247,131908,182861,249748,410626,0,85023,0,1793081,2481221,1865465,0,615756,962729,962702,27,0,0,27,40140,4023456,2539495,1694036,845459,3894394,129551,1454,1759711,469819,0,469819,30000,1503859,0,1503859,2455000,中,,,
港区,160447216,73043984,430906,129028,0,301878,0,973029,1227808,1032677,11430790,0,144491,52490,1955093,0,1955093,40231,403243,90933,312310,6769907,50856,0,50856,0,912268,775752,5031031,737782,77140,660642,11698702,3569337,368905,1163962,1979437,0,2438990,0,8698,0,652199,16435,1500739,6363211,2078855,184513,490791,411515,675,3750,124020,0,863591,4284356,1395408,0,2888948,5805475,497049,5308426,5248017,0,60409,229162,28225893,6562234,3801063,2761171,3320108,147701,3766,492667,94057,3895,90162,30000,2551917,0,2551917,0,港,,,
新宿区,139013123,42415037,456766,136772,0,319994,0,622124,785821,661400,9312458,0,151872,79294,29932268,27666565,2265703,41896,1630971,118089,1512882,3537756,106930,0,106930,0,598739,675590,2156497,858994,73590,785404,26736000,17125084,599730,2155119,2119536,0,83857,0,108107,0,2129685,3978,2410904,8769113,6071898,302384,1077560,468271,538068,0,160427,0,3525188,2697215,1026362,0,1670853,1123448,1111599,11849,5999,0,5850,100156,3429494,3454142,3264327,189815,2863113,148624,731,1216869,337397,0,337397,30000,1129492,0,1129492,2051000,新,,,
文京区,82137666,30171047,258351,77359,0,180992,0,486635,614895,517662,4079270,0,85885,53143,18720304,16480748,2239556,19206,953643,119918,833725,1957354,0,0,0,0,526242,290630,1140482,454477,101345,353132,8571531,4072212,409014,866777,1673435,0,46780,0,77861,0,219702,1805,1203945,4226332,2464789,204347,433584,340089,327529,0,104858,0,1054382,1761543,621622,0,1139921,351769,331649,20120,16300,0,3820,106978,5830016,2866596,2866596,0,1312572,77735,1126,25796,248755,0,248755,30000,929160,0,929160,500000,文,,,
台東区,96842478,19663108,301509,90281,0,211228,0,269372,341251,287805,4050679,0,100566,100332,30057943,26784752,3273191,24581,574218,46092,528126,2569460,45010,0,45010,0,291456,376501,1856493,642217,69203,573014,20970503,15948896,313148,1316901,1479993,0,35558,0,77242,0,507183,1403,1290179,6680455,4576755,220513,663532,319577,424158,0,94408,0,2854567,2103700,352368,0,1751332,527050,446657,80393,77660,0,2733,79709,308904,4242082,4229282,12800,3000734,85909,1114,2105548,170879,0,170879,30000,607284,0,607284,2050000,台,,,
墨田区,109495042,21899299,344584,103180,0,241404,0,328579,415212,349574,3967374,0,115029,148663,39414338,36934868,2479470,28886,1018916,39679,979237,2388062,22514,0,22514,0,564590,343257,1457701,488567,100619,387948,20635701,12736983,531738,1721721,2627894,0,119582,0,74306,0,1065702,13570,1744205,6719134,4149894,46530,860190,513134,457906,0,113409,0,2158725,2569240,789854,0,1779386,131095,109111,21984,21284,0,700,362081,2285285,3186648,3065325,121323,1168015,65701,576,42308,83359,20527,62832,30000,946071,9415,936656,4100000,墨,,,
江東区,181168822,46718097,632879,189506,0,443373,0,707199,897660,758089,7521590,21095,212665,337362,56632223,54226729,2405494,44100,3101266,83775,3017491,2993073,133091,0,133091,0,1076768,205543,1577671,744767,63246,681521,28907732,13944056,1269141,2849670,5060744,0,583418,0,12801,0,1073731,16886,4097285,10416090,5551474,635211,1424326,1078777,877071,0,146394,0,1389695,4864616,1222122,0,3642494,293325,199311,94014,90798,0,3216,1292991,10307074,4135943,4090843,45100,2719602,302064,1292,971181,342044,0,342044,30000,1073021,0,1073021,1774000,江,,,
品川区,143752556,43820952,515993,154506,0,361487,0,676142,855119,720349,6850535,0,171867,150379,37932703,36295205,1637498,32306,1548173,97641,1450532,4943852,51334,0,51334,0,1398307,107750,3386461,609115,65708,543407,25620217,9394925,652191,1676832,3281842,0,334968,0,110725,0,8283111,19035,1866588,9833591,3986374,434443,0,714161,698410,0,155073,0,1984287,5847217,3328916,0,2518301,584416,542232,42184,30518,0,11666,114819,501260,3345343,3182693,162650,4925425,125633,203,575885,2789179,0,2789179,30000,1404525,0,1404525,0,品,,,
