市町村名,歳入総額（Ａ）（千円）,歳出総額（Ｂ）（千円）,歳入歳出差引（Ａ－Ｂ）＝（Ｃ）（千円）,翌年度に繰り越すべき財源（Ｄ）（千円）,実質収支（Ｃ－Ｄ）＝（Ｅ）（千円）,単年度収支（Ｆ）（千円）,積立金（Ｇ）（千円）,繰上償還金（Ｈ）（千円）,積立金取崩し額（Ｉ）（千円）,実質単年度収支(Ｆ)+(Ｇ)+(Ｈ)-(Ｉ)=(Ｊ)（千円）,標準財政規模（Ｋ）（千円）,実質収支比率（％）,区分
市町村計,1575847694 ,1528697708 ,47149986 ,4892807 ,42257179 ,-5853957 ,24190858 ,230256 ,16222725 ,2344432 ,822872098 ,5.10 ,計
市計,1502931589 ,1457789652 ,45141937 ,4425017 ,40716920 ,-5744529 ,23115666 ,230256 ,15574374 ,2027019 ,794739452 ,5.10 ,市
町村計,72916105 ,70908056 ,2008049 ,467790 ,1540259 ,-109428 ,1075192 ,0 ,648351 ,317413 ,28132646 ,5.50 ,町
八王子市,194226573 ,192111777 ,2114796 ,222681 ,1892115 ,-2784921 ,1464127 ,0 ,500000 ,-1820794 ,104234770 ,1.80 ,八
立川市,80055422 ,75983187 ,4072235 ,806148 ,3266087 ,370543 ,1223111 ,0 ,400000 ,1193654 ,37927083 ,8.60 ,立
武蔵野市,65781055 ,61749819 ,4031236 ,1837972 ,2193264 ,-220571 ,3610 ,0 ,0 ,-216961 ,38395432 ,5.70 ,武
三鷹市,67635662 ,66130784 ,1504878 ,130766 ,1374112 ,-49380 ,141880 ,32240 ,100000 ,24740 ,35847573 ,3.80 ,三
青梅市,48324413 ,47454869 ,869544 ,37079 ,832465 ,-265961 ,549708 ,0 ,400000 ,-116253 ,25942711 ,3.20 ,青
府中市,95249189 ,92761007 ,2488182 ,255830 ,2232352 ,-1231020 ,1612000 ,12221 ,44540 ,348661 ,52134349 ,4.30 ,府
昭島市,44643120 ,43355215 ,1287905 ,29095 ,1258810 ,-88309 ,737112 ,53368 ,0 ,702171 ,21090890 ,6.00 ,昭
調布市,86792698 ,80864752 ,5927946 ,343319 ,5584627 ,1282374 ,1500594 ,0 ,400880 ,2382088 ,45728096 ,12.20 ,調
町田市,143759659 ,139361513 ,4398146 ,134039 ,4264107 ,93644 ,2976052 ,0 ,3999743 ,-930047 ,75860314 ,5.60 ,町
小金井市,37998414 ,36458127 ,1540287 ,19162 ,1521125 ,300261 ,930271 ,0 ,916000 ,314532 ,20884433 ,7.30 ,金
小平市,61396361 ,60138650 ,1257711 ,11441 ,1246270 ,-1506122 ,1377306 ,0 ,720000 ,-848816 ,34090776 ,3.70 ,平
日野市,63101494 ,60886738 ,2214756 ,44905 ,2169851 ,328187 ,2551294 ,0 ,764091 ,2115390 ,32873107 ,6.60 ,日
東村山市,55665279 ,54688564 ,976715 ,40099 ,936616 ,-619516 ,8352 ,0 ,2166218 ,-2777382 ,27908788 ,3.40 ,東
国分寺市,40806203 ,39576173 ,1230030 ,45104 ,1184926 ,-89241 ,844238 ,0 ,152461 ,602536 ,22905241 ,5.20 ,分
国立市,28801710 ,28442772 ,358938 ,73657 ,285281 ,-111621 ,202827 ,0 ,300000 ,-208794 ,15069087 ,1.90 ,国
福生市,23546526 ,22424537 ,1121989 ,4815 ,1117174 ,4135 ,563190 ,0 ,130000 ,437325 ,11411492 ,9.80 ,福
狛江市,27018152 ,26041404 ,976748 ,0 ,976748 ,-48753 ,866306 ,56127 ,842647 ,31033 ,14627953 ,6.70 ,狛
東大和市,30466074 ,29251607 ,1214467 ,14171 ,1200296 ,-127569 ,364564 ,0 ,278637 ,-41642 ,15929270 ,7.50 ,東
清瀬市,29950749 ,29145883 ,804866 ,18397 ,786469 ,17867 ,521946 ,0 ,473008 ,66805 ,14949655 ,5.30 ,清
東久留米市,38768959 ,37601739 ,1167220 ,72711 ,1094509 ,-165944 ,631196 ,0 ,0 ,465252 ,21859907 ,5.00 ,久
武蔵村山市,28770358 ,27865799 ,904559 ,9946 ,894613 ,105467 ,750090 ,0 ,716415 ,139142 ,13540264 ,6.60 ,村
多摩市,52005314 ,50933163 ,1072151 ,1001 ,1071150 ,-760212 ,1760705 ,0 ,950000 ,50493 ,29234655 ,3.70 ,多
稲城市,37092369 ,36287991 ,804378 ,147612 ,656766 ,-88760 ,133501 ,0 ,199885 ,-155144 ,16737049 ,3.90 ,稲
羽村市,21928274 ,21312909 ,615365 ,27789 ,587576 ,-4127 ,432901 ,0 ,16360 ,412414 ,11037450 ,5.30 ,羽
あきる野市,30618655 ,29860583 ,758072 ,77877 ,680195 ,13463 ,296 ,76300 ,3489 ,86570 ,16164939 ,4.20 ,あ
西東京市,68528907 ,67100090 ,1428817 ,19401 ,1409416 ,-98443 ,968489 ,0 ,1100000 ,-229954 ,38354168 ,3.70 ,西
瑞穂町,14226879 ,13885529 ,341350 ,18911 ,322439 ,-53107 ,182895 ,0 ,202000 ,-72212 ,6776898 ,4.80 ,瑞
日の出町,9096201 ,8832895 ,263306 ,33960 ,229346 ,5063 ,102443 ,0 ,0 ,107506 ,4133318 ,5.50 ,日
檜原村,3606790 ,3528068 ,78722 ,26734 ,51988 ,-39489 ,366773 ,0 ,0 ,327284 ,1382016 ,3.80 ,檜
奥多摩町,6615044 ,6413063 ,201981 ,985 ,200996 ,50910 ,72258 ,0 ,0 ,123168 ,2502491 ,8.00 ,奥
大島町,13776388 ,13619786 ,156602 ,25088 ,131514 ,-99023 ,143 ,0 ,0 ,-98880 ,2996539 ,4.40 ,大
利島村,1115087 ,1070295 ,44792 ,0 ,44792 ,24095 ,35 ,0 ,0 ,24130 ,331091 ,13.50 ,利
新島村,3781718 ,3606993 ,174725 ,30182 ,144543 ,47143 ,50176 ,0 ,86000 ,11319 ,1564189 ,9.20 ,新
神津島村,2628126 ,2581566 ,46560 ,0 ,46560 ,-12503 ,60250 ,0 ,36500 ,11247 ,981010 ,4.70 ,神
三宅村,4225167 ,3899464 ,325703 ,158309 ,167394 ,24574 ,72120 ,0 ,213851 ,-117157 ,1500910 ,11.20 ,三
御蔵島村,1234973 ,1167481 ,67492 ,52476 ,15016 ,-13791 ,123568 ,0 ,110000 ,-223 ,409848 ,3.70 ,御
