番号,項目,回答数（人）,回答数（％）
1,令和３年度は、事業を実施していることを知らなかったから,687,23.1
2,令和３年度は、商品券等の抽選に落選したから,253,8.5
3,還元額や上限額が魅力的になったから,215,7.2
4,事業実施期間が参加しやすくなったから,171,5.7
5,ポイント還元やデジタル商品券等のデジタル方式での実施だったから（比率が増えたから）,198,6.6
6,紙商品券等の紙方式での実施だったから（比率が増えたから）,139,4.7
7,事業の対象決済手段が変更（デジタル通貨からQRコード決済に変更等）されたから,110,3.7
8,申請手続き等において参加しやすくなったから,149,5
9,参加店舗数が増えたから,186,6.2
10,アプリの操作性や利便性が向上したから,99,3.3
11,スマートフォンの購入、バーコード決済の開始等で事業に参加できるようになったから,162,5.4
12,自分の住んでいる地域では、令和３年度に事業を実施していなかったから,129,4.3
13,その他,18,0.6
14,令和３年度も参加した,1181,39.6
15,分からない,219,7.3
全体,,3916,100
