番号,項目,回答数（人）,回答数（％）
1,アプリのインストール等準備が必要だから,237 ,33.1 
2,レジでアプリを立ち上げたり使用に手間がかかるから,356 ,49.7 
3,対応している店舗が少ないから,142 ,19.8 
4,使い方がよく分からないから,166 ,23.2 
5,チャージが手間であるから,183 ,25.5 
6,スマートフォンを持っていないから,46 ,6.4 
7,その他,43 ,6.0 
全体,,717 ,
