番号,項目,回答数（人）,回答数（％）
1,12歳未満,0,0.0
2,12歳～19歳,823,1.8
3,20歳～24歳,1602,3.5
4,25歳～29歳,2618,5.7
5,30歳～34歳,3323,7.2
6,35歳～39歳,3756,8.1
7,40歳～44歳,4275,9.2
8,45歳～49歳,5633,12.2
9,50歳～54歳,6803,14.7
10,55歳～59歳,6343,13.7
11,60歳～64歳,4909,10.6
12,65歳～69歳,2924,6.3
13,70歳～74歳,1927,4.2
14,75歳～79歳,893,1.9
15,80歳以上,475,1.0
全体,,46304,100
