番号,項目,回答数,そう思う_回答数（人）,そう思う_回答数（%）,そう思わない_回答数（人）,そう思わない_回答数（%）
1,"デジタル形式のみ(n=1,783)",1783,1156,64.8,627,35.2
2,紙形式のみ(n=720),720,364,50.3,356,49.4
全体,,2503,,,,
