番号,項目,回答数（人）,回答数（％）
1,パソコンやスマホなどデジタル機器に苦手意識があるから,6,22.2
2,決済手数料などの費用が割高だから,17,63
3,キャッシュレス決済を利用する顧客が少なく費用対効果が見込めないから,7,25.9
4,入金されるまでに一定日数以上かかるため、資金繰りに困ることがあったから,5,18.5
5,キャッシュレス決済により本社や店舗・事業所等の業務が増えたから,2,7.4
6,端末の操作等が不安であるから,3,11.1
7,不正利用が不安だから,2,7.4
8,決済事業者から得られる顧客情報等が少なかったから,2,7.4
9,本事業（キャンペーン）が終了して、来客数の増加が見込めないから,3,11.1
10,その他,1,3.7
全体,,27,
