市町村名,歳出合計（千円）,1議会費（千円）,2総務費（千円）,総務費の内訳・(1)総務管理費（千円）,総務費の内訳・(2)徴税費（千円）,総務費の内訳・(3)戸籍・住民基本台帳費（千円）,総務費の内訳・(4)選挙費（千円）,総務費の内訳・(5)統計調査費（千円）,総務費の内訳・(6)監査委員費（千円）,3民生費（千円）,民生費の内訳・(1)社会福祉費（千円）,民生費の内訳・(2)老人福祉費（千円）,民生費の内訳・(3)児童福祉費（千円）,民生費の内訳・(4)生活保護費（千円）,民生費の内訳・(5)災害救助費（千円）,4衛生費（千円）,衛生費の内訳・(1)保健衛生費（千円）,衛生費の内訳・(2)結核対策費（千円）,衛生費の内訳・(3)保健所費（千円）,衛生費の内訳・(4)清掃費（千円）,5労働費（千円）,労働費の内訳・(1)失業対策費（千円）,労働費の内訳・(2)労働諸費（千円）,6農林水産業費（千円）,農林水産業費の内訳・(1)農業費（千円）,農林水産業費の内訳・(2)畜産業費（千円）,農林水産業費の内訳・(3)農地費（千円）,農林水産業費の内訳・(4)林業費（千円）,農林水産業費の内訳・(5)水産業費（千円）,7商工費（千円）,8土木費（千円）,土木費の内訳・(1)土木管理費（千円）,土木費の内訳・(2)道路橋りょう費（千円）,土木費の内訳・(3)河川費（千円）,土木費の内訳・(4)港　湾　費（千円）,土木費の内訳・(5)都市計画費・①街路費（千円）,土木費の内訳・(5)都市計画費・②公園費（千円）,土木費の内訳・(5)都市計画費・③下水道費（千円）,土木費の内訳・(5)都市計画費・④区画整理費等（千円）,土木費の内訳・(6)住宅費（千円）,土木費の内訳・(7)空港費（千円）,9消防費（千円）,10教育費（千円）,教育費の内訳・(1)教育総務費（千円）,教育費の内訳・(2)小学校費（千円）,教育費の内訳・(3)中学校費（千円）,教育費の内訳・(4)幼稚園費（千円）,教育費の内訳・(5)社会教育費（千円）,教育費の内訳・(6)保健体育費・体育施設費等（千円）,教育費の内訳・(6)保健体育費・学校給食費（千円）,11災害復旧費（千円）,災害復旧費の内訳・(1)農林水産施設災害復旧費（千円）,災害復旧費の内訳・(2)公共土木施設災害復旧費（千円）,災害復旧費の内訳・(3)その他（千円）,12公債費（千円）,13諸支出金（千円）,諸支出金の内訳・(1)普通財産取得費（千円）,諸支出金の内訳・(2)公営企業費（千円）,諸支出金の内訳・(3)市町村たばこ税都道府県交付金（千円）,14前年度繰上充用金（千円）,区分
市町村計,1528697708,11436897,182461054,154298425,15510227,7878677,2779526,937057,1057142,705832015,185557547,97829007,279603251,142668481,173729,129124076,46775193,513525,1265588,80569770,7207366,0,7207366,7332777,3858474,94331,317106,1962647,1100219,12289727,147679024,7613436,30688013,473572,22916,14739913,15636296,29480623,42517411,6475395,31449,54989318,174395212,30836195,44158177,23429705,743021,35518944,16846205,22862965,929462,139710,382382,407370,94485841,534939,410075,124367,497,0,計
市計,1457789652,10505420,170307690,143495578,14795930,7435186,2685207,855595,1040194,690235583,180038360,94070785,273439930,142668462,18046,117303081,42728409,505904,1265588,72803180,6433273,0,6433273,3535128,2921989,17777,43343,552019,0,9099889,140141960,7081390,27884159,429988,0,14605497,15228961,28021643,41672407,5217915,0,52327001,166955419,29718095,43071207,21643823,743021,33122059,16484931,22172283,270777,47726,9059,213992,90264356,410075,410075,0,0,0,市
町村計,70908056,931477,12153364,10802847,714297,443491,94319,81462,16948,15596432,5519187,3758222,6163321,19,155683,11820995,4046784,7621,0,7766590,774093,0,774093,3797649,936485,76554,273763,1410628,1100219,3189838,7537064,532046,2803854,43584,22916,134416,407335,1458980,845004,1257480,31449,2662317,7439793,1118100,1086970,1785882,0,2396885,361274,690682,658685,91984,373323,193378,4221485,124864,0,124367,497,0,町
八王子市,192111777,724497,16867806,13770332,1940465,670575,271398,104369,110667,96533577,24250860,11726550,38432535,22121932,1700,16620279,5240761,108478,619019,10652021,535597,0,535597,394491,304299,0,22196,67996,0,2312360,19298666,756677,4499672,0,0,106803,1964614,4220000,6777303,973597,0,6687656,18934001,3137406,4963055,3095603,585,1956818,3359174,2421360,0,0,0,0,13202847,0,0,0,0,0,八
立川市,75983187,473411,7808179,6324264,760614,480639,168055,40322,34285,34818744,8624472,4091092,12159562,9943618,0,5489251,1661370,2059,0,3825822,544515,0,544515,166700,166700,0,0,0,0,365248,8631397,93329,1825109,0,0,918,610343,1869000,3591997,640701,0,2253317,11002781,1148370,4881250,720737,0,2413448,527922,1311054,0,0,0,0,4429644,0,0,0,0,0,立
武蔵野市,61749819,435775,8959871,7720103,666737,391483,80620,27429,73499,23949719,6741802,4431327,8654037,4122440,113,6787412,2199891,12740,0,4574781,239745,0,239745,63246,63246,0,0,0,0,397275,8700605,171058,938495,0,0,3617990,1728054,942382,1087447,215179,0,1986491,7822383,2154011,1310505,946201,0,1614182,938736,858748,0,0,0,0,2407297,0,0,0,0,0,武
三鷹市,66130784,527466,10015753,8909130,637238,277278,120986,37202,33919,31683697,9732902,4043044,10859602,7044767,3382,3564326,1840611,10893,0,1712822,180607,0,180607,170768,169796,972,0,0,0,320165,5371942,585880,1605311,10329,0,304172,805238,1040000,752450,268562,0,2162077,7516743,1316802,1381794,960219,0,1377826,1574019,906083,0,0,0,0,4207165,410075,410075,0,0,0,三
青梅市,47454869,417485,5580707,4718704,590538,138331,79627,20764,32743,22914525,5649032,2706072,9699012,4860409,0,4476343,1802229,921,0,2673193,11282,0,11282,251260,134787,7931,8821,99721,0,367392,3599655,196338,1130276,59260,0,54891,266193,1423006,295938,173753,0,1729004,4894614,744529,1091618,722362,0,698973,696121,941011,198042,0,5659,192383,3014560,0,0,0,0,0,青
府中市,92761007,514407,12200458,11118597,587259,281164,125883,33195,54360,44445503,11538401,6321999,16715701,9867402,2000,6644582,2633673,18724,0,3992185,515857,0,515857,135515,135515,0,0,0,0,402369,9236354,628236,1242209,0,0,475224,768551,1400000,4501435,220699,0,3082891,10776225,1469715,1665513,920890,149703,3289601,900536,2380267,0,0,0,0,4806846,0,0,0,0,0,府
昭島市,43355215,368009,4783632,4012099,409840,229836,77461,29304,25092,19844420,4246462,2480344,8559932,4557682,0,3248958,1129930,11854,0,2107174,383362,0,383362,55779,55779,0,0,0,0,188901,5400381,136964,1090890,0,0,331049,127416,623708,3090354,0,0,1492960,5043682,922275,1458517,778081,45708,659341,358359,821401,0,0,0,0,2545131,0,0,0,0,0,昭
調布市,80864752,502553,11053099,9591724,754933,434702,176929,34985,59826,37704039,10018455,5345537,16115963,6224084,0,4911181,2191326,65686,0,2654169,242277,0,242277,96171,96171,0,0,0,0,293064,10610397,791407,1723259,6099,0,1233837,1402431,557036,4689271,207057,0,2644698,8514140,1838703,2155219,913495,0,1734975,870277,1001471,0,0,0,0,4293133,0,0,0,0,0,調
