,前年代計,65～計,複数世帯,単身世帯,単身男,単身女,複数男,複数女
平成15年,4849,2672,1231,1441,799,642,637,594
平成16年,5172,3003,1353,1650,905,745,712,641
平成17年,5905,3535,1698,1837,1036,801,915,783
平成18年,5910,3606,1737,1869,1082,787,927,810
平成19年,6754,4291,1950,2341,1271,1070,1042,908
