区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（津波）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（津波）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（津波）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（津波）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（津波）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（津波）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,18,13,4,0,0,0,1,1,22,17,5,0,0,0,0,0,2,2,0,0,0,0,0,0,18,13,4,0,0,0,1,1,22,17,5,0,0,0,0,0,2,2,0,0,0,0,0,0
13102,中央区,21,17,2,0,0,0,0,0,23,19,3,0,0,0,0,0,12,11,1,0,0,0,0,0,21,17,2,0,0,0,0,0,23,19,3,0,0,0,0,0,12,11,1,0,0,0,0,0
13103,港区,29,19,7,0,0,0,2,0,31,21,8,1,1,0,0,0,13,11,2,0,0,0,0,0,29,19,7,0,0,0,2,0,31,21,8,1,1,0,0,0,13,11,2,0,0,0,0,0
13104,新宿区,9,5,0,0,1,0,1,0,7,6,0,0,1,0,0,0,6,1,4,0,0,0,0,0,9,5,0,0,1,0,1,0,7,6,0,0,1,0,0,0,6,1,4,0,0,0,0,0
13105,文京区,7,0,3,0,1,0,3,0,5,3,0,0,1,0,1,0,5,2,3,0,0,0,0,0,7,0,3,0,1,0,3,0,5,3,0,0,1,0,1,0,5,2,3,0,0,0,0,0
13106,台東区,39,33,2,0,2,0,2,0,31,27,2,0,1,0,1,0,53,51,2,0,0,0,0,0,39,33,2,0,2,0,2,0,31,27,2,0,1,0,1,0,53,51,2,0,0,0,0,0
13107,墨田区,93,77,2,0,9,0,4,0,65,56,2,0,5,0,1,0,131,125,3,0,3,0,0,0,93,77,2,0,9,0,4,0,65,56,2,0,5,0,1,0,131,125,3,0,3,0,0,0
13108,江東区,98,83,6,0,4,0,4,0,74,64,7,0,2,0,1,0,133,125,6,0,1,0,0,0,98,83,6,0,4,0,4,0,74,64,7,0,2,0,1,0,133,125,6,0,1,0,0,0
13109,品川区,87,43,6,0,29,0,9,0,58,32,6,0,17,0,1,0,90,78,5,0,7,0,0,0,82,43,6,0,24,0,9,0,55,32,6,0,15,0,1,0,89,78,5,0,6,0,0,0
13110,目黒区,47,22,3,0,17,0,4,0,30,16,3,0,9,0,1,0,54,44,4,0,5,0,0,0,46,22,3,0,16,0,4,0,29,16,3,0,8,0,1,0,54,44,4,0,5,0,0,0
