番号,項目,回答数（人）,回答数（％）
1,200万未満,2963,6.4
2,200～400万未満,8497,18.4
3,400～600万未満,7774,16.8
4,600～800万未満,5772,12.5
5,800～1000万未満,4161,9.0
6,1000～1200万未満,2474,5.3
7,1200～1500万未満,1909,4.1
8,1500～2000万未満,1233,2.7
9,2000万円以上,751,1.6
10,わからない,8184,17.7
11,無回答,2586,5.6
全体,,46304,100
