番号,項目,回答数（人）,回答数（％）
1,10代,130,8.4
2,20代,451,29.2
3,30代,889,57.5
4,40代,1156,74.8
5,50代,1082,70
6,60代,750,48.5
7,70代以上,462,29.9
全体,,1545,
