,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),69.0,65.8,64.8,58.9,53.7,52.1,51.1,49.1,47.6,46.2
定着外国人増加シナリオ(%),69.0,66.5,66.0,61.1,57.1,55.9,55.1,53.8,52.9,52.2
