区市町村コード,区市町村,都心南部,多摩東部,大正関東,立川断層
13101,千代田区,0.029,0.028,0.026,0.005
13102,中央区,0.044,0.03,0.027,0.004
13103,港区,0.052,0.028,0.027,0.006
13104,新宿区,0.032,0.031,0.028,0.006
13105,文京区,0.033,0.033,0.029,0.006
13106,台東区,0.046,0.045,0.034,0.007
13107,墨田区,0.067,0.065,0.043,0.008
13108,江東区,0.066,0.051,0.044,0.006
13109,品川区,0.064,0.045,0.036,0.008
13110,目黒区,0.065,0.043,0.037,0.013
13111,大田区,0.073,0.046,0.062,0.009
13112,世田谷区,0.056,0.048,0.032,0.013
13113,渋谷区,0.062,0.049,0.031,0.011
13114,中野区,0.035,0.039,0.031,0.011
13115,杉並区,0.041,0.048,0.032,0.016
13116,豊島区,0.034,0.031,0.026,0.006
13117,北区,0.047,0.044,0.024,0.01
13118,荒川区,0.062,0.059,0.037,0.012
13119,板橋区,0.037,0.039,0.023,0.009
13120,練馬区,0.027,0.039,0.022,0.012
13121,足立区,0.066,0.063,0.03,0.011
13122,葛飾区,0.07,0.065,0.036,0.009
13123,江戸川区,0.067,0.037,0.047,0.006
13201,八王子市,0.027,0.052,0.03,0.044
13202,立川市,0.016,0.022,0.014,0.044
13203,武蔵野市,0.017,0.031,0.016,0.015
13204,三鷹市,0.028,0.041,0.019,0.015
13205,青梅市,0.012,0.028,0.012,0.046
13206,府中市,0.027,0.035,0.024,0.036
13207,昭島市,0.015,0.032,0.016,0.051
13208,調布市,0.03,0.035,0.019,0.011
13209,町田市,0.034,0.049,0.041,0.018
13210,小金井市,0.024,0.046,0.024,0.025
13211,小平市,0.018,0.036,0.016,0.029
13212,日野市,0.025,0.037,0.024,0.054
13213,東村山市,0.019,0.034,0.013,0.025
13214,国分寺市,0.018,0.031,0.018,0.036
13215,国立市,0.019,0.024,0.019,0.043
13218,福生市,0.009,0.024,0.01,0.043
13219,狛江市,0.024,0.041,0.023,0.01
13220,東大和市,0.018,0.034,0.015,0.042
13221,清瀬市,0.028,0.035,0.018,0.025
13222,東久留米市,0.024,0.05,0.015,0.023
13223,武蔵村山市,0.012,0.027,0.012,0.047
13224,多摩市,0.019,0.025,0.019,0.019
13225,稲城市,0.041,0.048,0.031,0.023
13227,羽村市,0.008,0.018,0.008,0.04
13228,あきる野市,0.013,0.031,0.014,0.042
13229,西東京市,0.028,0.053,0.026,0.018
13303,瑞穂町,0.009,0.02,0.009,0.046
13305,日の出町,0.01,0.029,0.013,0.03
13307,檜原村,0.007,0.016,0.008,0.006
13308,奥多摩町,0.008,0.019,0.008,0.02
,区部合計,0.054,0.047,0.034,0.01
,多摩合計,0.023,0.038,0.023,0.032
,都合計,0.04,0.043,0.029,0.02
