市区町村コード,市区町村名,焼失棟数（冬早朝、風速4m）,焼失率（冬早朝、風速4m）,焼失棟数（冬昼、風速4m）,焼失率（冬昼、風速4m）,焼失棟数（冬夕、風速4m）,焼失率（冬夕、風速4m）,焼失棟数（冬早朝、風速8m）,焼失率（冬早朝、風速8m）,焼失棟数（冬昼、風速8m）,焼失率（冬昼、風速8m）,焼失棟数（冬夕、風速8m）,焼失率（冬夕、風速8m）
13101,千代田区,0,0,0,0,0,0,0,0,0,0,0,0
13102,中央区,0,0,2,0,1,0,0,0,2,0,1,0
13103,港区,2,0,6,0,7,0,2,0,7,0,8,0
13104,新宿区,43,0.001,61,0.001,101,0.002,44,0.001,63,0.001,103,0.002
13105,文京区,45,0.001,69,0.002,113,0.003,50,0.001,78,0.002,127,0.003
13106,台東区,53,0.001,89,0.002,140,0.004,55,0.001,91,0.002,143,0.004
13107,墨田区,326,0.007,472,0.01,1883,0.04,330,0.007,477,0.01,1903,0.041
13108,江東区,103,0.002,125,0.002,221,0.004,104,0.002,127,0.002,225,0.004
13109,品川区,601,0.009,864,0.013,1413,0.021,702,0.011,1009,0.015,1657,0.025
13110,目黒区,451,0.008,629,0.012,1238,0.023,484,0.009,675,0.012,1349,0.025
13111,大田区,961,0.006,1330,0.009,2268,0.015,1141,0.008,1564,0.011,2674,0.018
13112,世田谷区,2600,0.015,3224,0.018,16049,0.091,2857,0.016,3542,0.02,17340,0.098
13113,渋谷区,36,0.001,62,0.002,100,0.003,41,0.001,70,0.002,114,0.003
13114,中野区,534,0.008,690,0.01,1252,0.018,566,0.008,734,0.011,1328,0.019
13115,杉並区,4587,0.038,5671,0.046,10502,0.086,4650,0.038,5750,0.047,10645,0.087
13116,豊島区,323,0.006,446,0.008,764,0.014,371,0.007,513,0.009,877,0.016
13117,北区,203,0.003,249,0.004,459,0.007,211,0.003,260,0.004,478,0.007
13118,荒川区,206,0.005,285,0.007,797,0.019,216,0.005,298,0.007,835,0.02
13119,板橋区,470,0.005,590,0.006,1093,0.011,513,0.005,641,0.006,1189,0.012
13120,練馬区,3207,0.021,4043,0.027,10718,0.07,3298,0.022,4158,0.027,11004,0.072
13121,足立区,1935,0.012,2355,0.014,10010,0.061,2016,0.012,2454,0.015,10483,0.064
13122,葛飾区,700,0.006,923,0.008,2690,0.024,795,0.007,1048,0.01,3040,0.028
13123,江戸川区,564,0.004,709,0.005,1297,0.01,690,0.005,880,0.007,1624,0.012
13201,八王子市,1379,0.008,1760,0.01,2864,0.017,1490,0.009,1896,0.011,3094,0.018
13202,立川市,218,0.005,275,0.007,443,0.011,226,0.005,285,0.007,459,0.011
13203,武蔵野市,495,0.018,651,0.024,1664,0.06,501,0.018,659,0.024,1683,0.061
13204,三鷹市,622,0.016,718,0.018,1448,0.037,653,0.017,754,0.019,1519,0.039
13205,青梅市,173,0.004,218,0.005,346,0.007,178,0.004,224,0.005,356,0.007
13206,府中市,345,0.006,424,0.007,746,0.013,379,0.007,466,0.008,817,0.014
13207,昭島市,225,0.008,287,0.01,436,0.015,233,0.008,297,0.01,450,0.016
13208,調布市,388,0.009,475,0.011,928,0.021,439,0.01,535,0.012,1160,0.026
13209,町田市,789,0.006,912,0.007,2453,0.02,855,0.007,987,0.008,2655,0.022
13210,小金井市,534,0.019,628,0.022,1556,0.055,537,0.019,632,0.022,1565,0.055
13211,小平市,448,0.009,523,0.011,1721,0.035,495,0.01,581,0.012,1900,0.039
13212,日野市,167,0.004,204,0.004,486,0.01,189,0.004,231,0.005,553,0.012
13213,東村山市,177,0.004,214,0.005,550,0.014,204,0.005,246,0.006,630,0.016
13214,国分寺市,325,0.01,399,0.013,835,0.027,370,0.012,453,0.014,949,0.03
13215,国立市,128,0.007,171,0.01,288,0.017,173,0.01,232,0.014,388,0.023
13218,福生市,69,0.004,84,0.005,131,0.008,73,0.005,88,0.006,137,0.009
13219,狛江市,534,0.03,644,0.036,1645,0.093,545,0.031,657,0.037,1682,0.095
13220,東大和市,152,0.007,183,0.009,316,0.015,177,0.008,214,0.01,368,0.017
13221,清瀬市,39,0.002,51,0.003,91,0.005,50,0.003,66,0.004,118,0.007
13222,東久留米市,270,0.009,321,0.011,1182,0.04,276,0.009,329,0.011,1211,0.041
13223,武蔵村山市,237,0.009,276,0.011,433,0.017,248,0.01,287,0.011,452,0.018
13224,多摩市,35,0.001,45,0.002,78,0.003,36,0.001,47,0.002,80,0.003
13225,稲城市,44,0.003,54,0.003,88,0.005,46,0.003,57,0.003,92,0.005
13227,羽村市,211,0.012,245,0.014,331,0.02,236,0.014,272,0.016,368,0.022
13228,あきる野市,428,0.011,510,0.013,808,0.021,459,0.012,547,0.014,868,0.022
13229,西東京市,738,0.017,880,0.02,3364,0.076,776,0.017,928,0.021,3537,0.08
13303,瑞穂町,46,0.003,59,0.004,76,0.005,47,0.003,61,0.004,79,0.005
13305,日の出町,40,0.004,57,0.006,93,0.009,44,0.004,64,0.006,101,0.01
13307,檜原村,0,0,1,0,1,0,0,0,1,0,1,0
13308,奥多摩町,1,0,1,0,2,0,1,0,1,0,2,0
