番号,項目,回答数（人）,回答数（％）
1,消費意欲が上がった/お得感がある,271,32.2
2,還元率・還元上限額が高い,182,21.6
3,個人経営・地元の店を助けることができた/知ることができた,72,8.6
4,アプリが利用しやすい,59,7.0
5,生活負担の軽減になった,57,6.8
6,参加店舗数が多い,46,5.5
7,手続きが簡単である,38,4.5
,本事業の実施,37,4.4
,キャッシュレス決済が普及した,26,3.1
,その他,54,6.4
全体,,842,100
