番号,項目,回答数（人）,21%以上増加した_回答数（人）,21%以上増加した_回答数（%）,1%-20%増加した_回答数（人）,1%-20%増加した_回答数（%）,変わらない_回答数（人）,変わらない_回答数（%）
1,小売業(最寄り品)（n=344）,344,93,27,202,58.7,49,14.2
2,小売業(買回り品)（n=229）,229,74,32.3,106,46.3,49,21.4
3,宿泊業（n=7）,7,3,42.9,2,28.6,2,28.6
4,飲食業(居酒屋・BAR)（n=177）,177,75,42.4,79,44.6,23,13
5,飲食業(居酒屋・BAR以外)（n=260）,260,105,40.4,119,45.8,36,13.8
6,娯楽サービス業（n=52）,52,15,28.8,24,46.2,13,25
7,生活関連サービス業（n=364）,364,131,36,157,43.1,76,20.9
8,その他（n=100）,100,22,22,48,48,30,30
全体,,1533,,,,,,
