,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,71,,
中央区,,3,
港区,51,,
新宿区,310,26,
文京区,5,1,
台東区,2,5,
墨田区,5,6,
江東区,1386,3,
品川区,2,1,
目黒区,12,3,
大田区,30,53,
世田谷区,5,7,
渋谷区,4,11,
中野区,383,14,
杉並区,32,38,
豊島区,7,10,
北区,49,22,
荒川区,72,20,
板橋区,134,80,
練馬区,213,96,
足立区,94,128,
葛飾区,92,26,
江戸川区,492,81,
八王子市,47,44,
立川市,168,14,
武蔵野市,108,5,
三鷹市,17,11,
青梅市,2,18,
府中市,3,34,
昭島市,,7,
調布市,11,16,
町田市,53,69,
小金井市,,5,
小平市,2,7,
日野市,4,20,
東村山市,11,10,
国分寺市,,5,
国立市,57,9,
福生市,,19,
狛江市,,1,
東大和市,53,12,
清瀬市,9,7,
東久留米市,114,,
武蔵村山市,16,5,
多摩市,4,21,
稲城市,5,22,
羽村市,,16,
あきる野市,,15,
西東京市,104,33,
瑞穂町,0,5,
日の出町,0,2,
檜原村,0,,
奥多摩町,0,3,
大島町,0,,
利島村,0,,
新島村,0,,
神津島村,0,,
三宅村,0,,
御蔵島村,0,,
八丈町,0,,
青ヶ島村,0,,
小笠原村,0,7,
小計,4239,1076,
合計,,,5315
