番号,項目,回答数（人）,回答数（％）
1,公務員,1353,2.9
2,経営者・役員,1551,3.3
3,会社員(事務系),8637,18.7
4,会社員(技術系),4888,10.6
5,会社員(その他),7736,16.7
6,自営業,2431,5.3
7,自由業,1430,3.1
8,専業主婦(主夫),4725,10.2
9,パート・アルバイト,5590,12.1
10,学生,1628,3.5
11,その他,1922,4.2
12,無職,4413,9.5
全体,,46304,100
