X（m）,Y（m）,経度（度）,緯度（度）,到達時間（1cm）（秒）,到達時間（30cm）（秒）,到達時間（1m）（秒）,到達時間（最高水位）（秒）
-43235,-133115,139.36082932,34.79916576,277.2,1432.5,2869.4,2981.9
-43225,-133115,139.36093860,34.79916618,685.3,1593.6,2870.2,2980.9
-43265,-133125,139.36050198,34.79907434,1387.7,1965.9,2874.4,2884.5
-43255,-133125,139.36061127,34.79907476,430.2,1389.6,2867.6,2885.3
-43245,-133125,139.36072055,34.79907519,429.1,1389.1,2868.5,2884.4
-43235,-133125,139.36082983,34.79907561,1434.5,1985.7,2877.7,2882.9
-43225,-133125,139.36093912,34.79907604,1452.0,1976.0,2878.1,2983.2
-43215,-133125,139.36104840,34.79907646,1385.5,1681.5,2876.9,2986.2
-43205,-133125,139.36115769,34.79907689,1394.4,1685.3,2878.9,2986.7
-43195,-133125,139.36126697,34.79907731,407.9,1445.3,2873.4,2986.3
-43185,-133125,139.36137625,34.79907773,406.1,1446.2,2874.9,2985.8
-43175,-133125,139.36148554,34.79907816,363.1,1448.8,2876.7,2984.6
-43265,-133135,139.36050250,34.79898419,305.6,1391.6,2867.5,2887.3
-43255,-133135,139.36061178,34.79898462,294.9,852.2,2867.2,2887.3
-43245,-133135,139.36072106,34.79898504,1973.8,2732.5,-9999.0,2887.3
-43185,-133135,139.36137677,34.79898759,2606.7,2881.8,-9999.0,3246.5
-43175,-133135,139.36148605,34.79898801,1612.0,1981.1,2973.4,2983.6
-43165,-133135,139.36159533,34.79898843,1448.8,1679.2,2971.5,2983.9
-43265,-133145,139.36050301,34.79889404,2864.9,2870.1,-9999.0,2888.4
-43145,-133145,139.36181442,34.79889913,1988.3,2606.4,2981.4,2984.9
-43135,-133145,139.36192370,34.79889956,1616.8,1705.0,2974.5,2983.6
-43125,-133145,139.36203298,34.79889998,808.2,1647.7,2970.4,2989.4
-43275,-133155,139.36039424,34.79880347,242.6,1423.0,2866.9,2892.4
-43125,-133155,139.36203350,34.79880983,2607.6,2974.9,-9999.0,2990.5
-43115,-133155,139.36214278,34.79881026,813.5,1656.7,2971.2,2986.4
-43285,-133165,139.36028547,34.79871290,1385.4,1614.4,2872.7,2891.1
-43275,-133165,139.36039476,34.79871333,1598.2,2629.6,2880.0,2891.9
-43105,-133165,139.36225258,34.79872053,2619.4,2975.9,-9999.0,2988.2
-43095,-133165,139.36236186,34.79872095,815.8,1657.1,2970.0,2989.7
-43085,-133165,139.36247114,34.79872138,405.2,1449.1,2611.3,2991.2
-43075,-133165,139.36258043,34.79872180,371.3,1455.3,2611.2,2992.4
-43065,-133165,139.36268971,34.79872222,365.6,1462.3,2611.7,2993.1
-43285,-133175,139.36028599,34.79862275,1410.2,1622.2,2876.4,2895.5
-43275,-133175,139.36039527,34.79862318,2874.1,2883.7,-9999.0,2896.7
-43085,-133175,139.36247166,34.79863123,1710.1,2000.7,2979.5,2994.4
