団体名（税目）,１普通税,(1)法定普通税,ア市町村民税,(ｱ)個人均等割,(ｲ)所得割,うち退職所得分,(ｳ)法人均等割,(ｴ)法人税割,イ固定資産税,(ｱ)純固定資産税,①土地,②家屋,③債却資産,(ｲ)交付金,ウ軽自動車税,エ市町村たばこ税,オ鉱産税,カ特別土地保有税,(ｱ)保有分,(ｲ)取得分,(2)法定外普通税,２目的税,(1)法定目的税,ア入湯税,イ事業所税,ウ都市計画税,(ｱ)土地,(ｲ)家屋,エ水利地益税,オ共同施設税,カ宅地開発税,(2)法定外目的税,３旧法による税,合計,国民健康保険税,国民健康保険料
市町村計（調定済額)（千円）,692466731 ,692466731 ,374019071 ,7422346 ,307003307 ,2858311 ,10923438 ,48669980 ,289430525 ,280222892 ,137692844 ,110427456 ,32102592 ,9207633 ,3264187 ,25688043 ,4748 ,60157 ,28883 ,31274 ,0 ,58264356 ,58264356 ,40687 ,3786862 ,54436807 ,34438823 ,19997984 ,0 ,0 ,0 ,0 ,0 ,750731087 ,107472476 ,11328695 
市町村計（収入済額)（千円）,669998978 ,669998978 ,358137885 ,7045622 ,292152879 ,2858323 ,10748204 ,48191180 ,283092952 ,273885319 ,134500731 ,107810116 ,31574472 ,9207633 ,3032602 ,25688042 ,4748 ,42749 ,11475 ,31274 ,0 ,56940294 ,56940294 ,40687 ,3780314 ,53119293 ,33613084 ,19506209 ,0 ,0 ,0 ,0 ,0 ,726939272 ,82961050 ,8910401 
市町村計（収入歩合)（%）,96.8 ,96.8 ,95.8 ,94.9 ,95.2 ,100.0 ,98.4 ,99.0 ,97.8 ,97.7 ,97.7 ,97.6 ,98.4 ,100.0 ,92.9 ,100.0 ,100.0 ,71.1 ,39.7 ,100.0 ,0.0 ,97.7 ,97.7 ,100.0 ,99.8 ,97.6 ,97.6 ,97.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.8 ,77.2 ,78.7 
市計（調定済額)（千円）,678610674 ,678610674 ,368104542 ,7270075 ,302560568 ,2829874 ,10603482 ,47670417 ,282598569 ,273832224 ,134972620 ,108087187 ,30772417 ,8766345 ,3036752 ,24810652 ,2 ,60157 ,28883 ,31274 ,0 ,57480643 ,57480643 ,25567 ,3786862 ,53668214 ,33971929 ,19696285 ,0 ,0 ,0 ,0 ,0 ,736091317 ,104623129 ,11328695 
市計（収入済額)（千円）,656856713 ,656856713 ,352535274 ,6904822 ,287990586 ,2829886 ,10437665 ,47202201 ,276642265 ,267875920 ,131934631 ,105610031 ,30331258 ,8766345 ,2825772 ,24810651 ,2 ,42749 ,11475 ,31274 ,0 ,56187562 ,56187562 ,25567 ,3780314 ,52381681 ,33166141 ,19215540 ,0 ,0 ,0 ,0 ,0 ,713044275 ,80770772 ,8910401 
市計（収入歩合)（%）,96.8 ,96.8 ,95.8 ,95.0 ,95.2 ,100.0 ,98.4 ,99.0 ,97.9 ,97.8 ,97.7 ,97.7 ,98.6 ,100.0 ,93.1 ,100.0 ,100.0 ,71.1 ,39.7 ,100.0 ,0.0 ,97.8 ,97.8 ,100.0 ,99.8 ,97.6 ,97.6 ,97.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.9 ,77.2 ,78.7 
町村計（調定済額)（千円）,13856057 ,13856057 ,5914529 ,152271 ,4442739 ,28437 ,319956 ,999563 ,6831956 ,6390668 ,2720224 ,2340269 ,1330175 ,441288 ,227435 ,877391 ,4746 ,0 ,0 ,0 ,0 ,783713 ,783713 ,15120 ,0 ,768593 ,466894 ,301699 ,0 ,0 ,0 ,0 ,0 ,14639770 ,2849347 ,0 
町村計（収入済額)（千円）,13142265 ,13142265 ,5602611 ,140800 ,4162293 ,28437 ,310539 ,988979 ,6450687 ,6009399 ,2566100 ,2200085 ,1243214 ,441288 ,206830 ,877391 ,4746 ,0 ,0 ,0 ,0 ,752732 ,752732 ,15120 ,0 ,737612 ,446943 ,290669 ,0 ,0 ,0 ,0 ,0 ,13894997 ,2190278 ,0 
町村計（収入歩合)（%）,94.8 ,94.8 ,94.7 ,92.5 ,93.7 ,100.0 ,97.1 ,98.9 ,94.4 ,94.0 ,94.3 ,94.0 ,93.5 ,100.0 ,90.9 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,96.0 ,96.0 ,100.0 ,0.0 ,96.0 ,95.7 ,96.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,94.9 ,76.9 ,0.0 
八王子市（調定済額)（千円）,84651166 ,84651166 ,44700676 ,958667 ,36595693 ,378644 ,1409935 ,5736381 ,35748579 ,34889018 ,14812417 ,15979689 ,4096912 ,859561 ,539131 ,3662780 ,0 ,0 ,0 ,0 ,0 ,8889071 ,8889071 ,0 ,1879596 ,7009475 ,3872289 ,3137186 ,0 ,0 ,0 ,0 ,0 ,93540237 ,17155483 ,0 
八王子市（収入済額)（千円）,81551398 ,81551398 ,42716385 ,910240 ,34747025 ,378644 ,1392732 ,5666388 ,34657429 ,33797868 ,14349161 ,15479926 ,3968781 ,859561 ,514804 ,3662780 ,0 ,0 ,0 ,0 ,0 ,8664469 ,8664469 ,0 ,1875060 ,6789409 ,3750716 ,3038693 ,0 ,0 ,0 ,0 ,0 ,90215867 ,12484269 ,0 
