番号,項目,回答数（人）,満足_回答数（人）,満足_回答数（%）,普通_回答数（人）,普通_回答数（%）,不満_回答数（人）,不満_回答数（%）
1,"参加店舗数（n=2,980）",2980,1052,35.3,958,32.1,970,32.6
2,"購入方式（n=1,968）",1968,974,49.5,681,34.6,313,15.9
3,"還元者数（n=1,968）",1986,864,43.9,700,35.6,404,20.5
4,"還元・プレミアム率（n=2,980）",2980,1425,47.8,1000,33.6,555,18.6
5,"還元上限額・購入限度額（n=2,980）",2980,1187,39.8,1048,35.2,745,25
6,"デジタル形式の使いやすさ（n=2,209）",2209,1332,60.3,608,27.5,2209,12.2
7,"紙形式の使いやすさ（n=1,146）",1146,542,47.3,436,38,1146,14.7
全体,,16249,,,,,,
