名称,設立年月日,代表者,就任年月日,事務所所在地,借入限度額(百万円),出資総額(百万円),出資金額(百万円),出資割合,職員数（人）,職員数・うち区職員(公益法人派遣法等)（人）,目的
公益財団法人まちみらい千代田,S63.10.28,（理）山﨑　芳明,H26.1.21,千代田区神田錦町3-21　ちよだプラットフォームスクウェア4階,,1040 ,1000 ,96%,11・常勤理事を除く,4,まちづくり、コミュニティ活性化及び産業振興の事業を推進し、心豊かに暮らせる地域社会を構築
一般財団法人中央区都市整備公社,S60.6.1,（理）酒井　英彦,H20.12.4,中央区銀座1-25-3　京橋プラザ分庁舎2階,,50 ,50 ,100%,10,6,区のまちづくりの推進に協力し、地域の活性化及び居住環境の向上に資する事業を行うことにより、住民福祉の増進及び地域社会の発展に寄与する
公益財団法人中央区勤労者サービス公社,H7.4.3,（理）中野里　孝正,H19.5.29,中央区銀座4-9-8　銀座王子ビル2階,,500 ,500 ,100%,7,0,中小企業勤労者を対象に総合的な勤労者福祉の向上を図る
日本橋プラザ株式会社,S60.4.18,（代）茂木　三千彦,H15.10.28,中央区日本橋2-3-4,,1000 ,550 ,55%,7・嘱託・派遣2人を含む,0,事務所・店舗及び展示場賃貸、ビル管理業務、駐車場賃貸
公益財団法人港区スポーツふれあい文化健康財団,H8.4.1,（理）野村　茂,H24.8.24,港区赤坂4-18-13　赤坂コミュニティーぷらざ内,,527 ,500 ,95%,76・財団固有常勤職員36人のほか、非常勤職員32人、臨時職員1名を含む,7,コミュニティ・文化・スポーツ・健康増進の振興を図り、地域社会の発展に寄与
公益財団法人新宿未来創造財団,H12.4.1,（理）永木 　秀人,H24.4.1,新宿区大久保3-1-2,,500 ,500 ,100%,428・契約職員88人、パートタイム労働者287人を含む,6,歴史、文化、芸術、スポーツなどの生涯学習の機会を提供し、住民の自発的な参画と相互交流を図る
公益財団法人新宿区勤労者・仕事支援センター,H21.4.1,（理）猿橋　敏夫,H28.4.1,新宿区新宿7-3-29,,303 ,303 ,100%,68・非常勤31人、人材派遣社員1人を含む,3,総合的な就労支援の実施、勤労者福祉の向上及びリサイクル活動の普及促進
公益財団法人文京アカデミー,S61.10.1,（理）原口　洋志,H27.8.20,文京区春日1-16-21　文京シビックセンター内,,200 ,200 ,100%,45・非常勤16人を含む,11・再任用3人含む,コミュニティの育成、文化芸術の振興及び生涯学習の推進に寄与し、地域社会の発展と豊かな区民生活の形成に資する
東京ケーブルネットワーク株式会社,S60.3.20,棟田　和博,H21.6.17,文京区後楽1-1-7　グラスシティ後楽,,1600 ,16 ,1%,65・役員5人を含む,0,行政情報を区民に提供し、区民サービスの向上を図る
公益財団法人台東区産業振興事業団,S58.10.1,（理）生沼　正篤,H23.5.26,台東区東上野5-6-2,,500 ,500 ,100%,13・非常勤6人を含む,7・再任用4人含む,中小企業の育成を図るとともに勤労者福祉を向上させ、区内中小企業の振興と地域社会の発展に寄与する
公益財団法人台東区芸術文化財団,S58.10.1,（理）生沼　正篤,H27.6.16,台東区下谷1-2-11,,500 ,500 ,100%,67・役員1人、非常勤13人、長期臨時職員11人を含む,30・再任用10人含む,文化・スポーツの振興を図り、豊かな地域社会の実現に寄与する
公益財団法人墨田区文化振興財団,H8.3.29,（理）久保　孝之,H27.6.11,墨田区錦糸1-2-3　すみだトリフォニーホール内,,500 ,500 ,100%,24・非常勤3人を含む,0,芸術文化活動の振興と新たな芸術文化の創造及び発信を行う
一般財団法人ファッション産業人材育成機構,H4.2.20,（理）萩平　勉,H26.6.18,墨田区横網1-6-1,,4927 ,2000 ,41%,12・役員1人を含む,0,ファッション産業の人材育成・調査・研究等を行う
株式会社アルカタワーズ,H8.8.9,（代）中潟　信和,H23.6.18,墨田区錦糸1-2-1,,100 ,35 ,35%,9・役員除く,0,錦糸町駅北口開発地区の効率的・統一的管理運営を行う
一般財団法人墨田まちづくり公社,S57.8.16,（理）山本　亨　区長,H27.6.12,墨田区京島1-38-11,,200 ,200 ,100%,25・役員１人を含む,0,自治活動の振興と市街環境の再整備の推進を行う
