X（m）,Y（m）,経度（度）,緯度（度）,浸水深（最大）（m）
-50925,-173875,139.27923768,34.43136386,3.6513
-50915,-173875,139.27934648,34.43136435,2.7484
-50885,-173895,139.27967407,34.43118553,5.4076
-50985,-173905,139.27858665,34.43109044,5.6915
-50885,-173905,139.27967467,34.43109538,4.4126
-50715,-173905,139.28152429,34.43110373,6.8527
-50705,-173905,139.28163309,34.43110423,4.4728
-50865,-173915,139.27989286,34.43100621,2.0907
-50715,-173915,139.28152488,34.43101358,7.3806
-50705,-173915,139.28163368,34.43101407,6.5723
-50695,-173915,139.28174248,34.43101456,8.4166
-50855,-173925,139.28000226,34.43091655,3.2633
-50715,-173925,139.28152547,34.43092343,8.2046
-50705,-173925,139.28163428,34.43092392,7.7456
-50965,-173935,139.27880604,34.43082098,1.1421
-50955,-173935,139.27891484,34.43082147,0.0635
-50845,-173935,139.28011165,34.43082689,1.5534
-50735,-173935,139.28130846,34.43083230,10.7054
-50725,-173935,139.28141727,34.43083279,9.1834
-50715,-173935,139.28152607,34.43083328,6.6268
-50705,-173935,139.28163487,34.43083377,2.7380
-50695,-173935,139.28174367,34.43083426,3.8885
-50685,-173935,139.28185247,34.43083475,8.6554
-50965,-173945,139.27880664,34.43073083,10.0071
-50955,-173945,139.27891544,34.43073132,10.5036
-50835,-173945,139.28022105,34.43073723,0.3375
-50825,-173945,139.28032985,34.43073772,4.2075
-50735,-173945,139.28130906,34.43074215,10.6930
-50725,-173945,139.28141786,34.43074264,7.2312
-50715,-173945,139.28152666,34.43074313,4.0646
-50705,-173945,139.28163546,34.43074362,0.0333
-50695,-173945,139.28174426,34.43074411,0.0016
-50685,-173945,139.28185306,34.43074460,6.2659
-50665,-173945,139.28207066,34.43074558,7.2475
-50965,-173955,139.27880723,34.43064067,9.1286
-50955,-173955,139.27891603,34.43064117,5.9250
-50825,-173955,139.28033044,34.43064757,0.0165
-50755,-173955,139.28109205,34.43065101,9.9426
-50745,-173955,139.28120085,34.43065150,10.0272
-50735,-173955,139.28130965,34.43065199,9.4621
-50725,-173955,139.28141845,34.43065249,8.1397
-50715,-173955,139.28152725,34.43065298,4.7688
-50685,-173955,139.28185365,34.43065445,3.9280
-50675,-173955,139.28196246,34.43065494,6.9299
-50665,-173955,139.28207126,34.43065543,7.3957
-50965,-173965,139.27880783,34.43055052,8.8406
-50955,-173965,139.27891663,34.43055102,6.1705
-50805,-173965,139.28054864,34.43055840,6.4133
-50795,-173965,139.28065744,34.43055889,9.7900
-50775,-173965,139.28087504,34.43055988,11.8741
-50765,-173965,139.28098384,34.43056037,11.4816
-50755,-173965,139.28109264,34.43056086,10.8475
-50745,-173965,139.28120144,34.43056135,8.9148
-50735,-173965,139.28131024,34.43056184,7.0920
-50725,-173965,139.28141904,34.43056233,5.3834
-50675,-173965,139.28196305,34.43056479,2.8953
-50665,-173965,139.28207185,34.43056528,4.9357
-50655,-173965,139.28218065,34.43056577,6.1141
-50645,-173965,139.28228945,34.43056626,7.3554
-50635,-173965,139.28239825,34.43056675,8.5198
-50625,-173965,139.28250705,34.43056724,5.5054
