公社名,設立年月日,代表者,就任年月日,事務所所在地,借入限度額,出資(出捐)金総額（%）,団体出資額（%）,目的
一般財団法人八王子市まちづくり公社,H24.4.1,（理）中山　恒夫,H27.4.1,八王子市旭町13-17,,3億円（100%）,2億400万円（68%）,都市施設及び都市環境の整備その他まちづくりのために必要な事業を行い、地域社会の健全な発展と住民福祉の向上に寄与
公益財団法人八王子市学園都市文化ふれあい財団,H14.4.1,（理）三浦　眞一,H28.4.1,八王子市本町24-1,,5億100万円（100%）,5億100万円（100%）,芸術・文化、コミュニティ及びスポーツの振興並びに学園都市づくりの推進を図るとともに、市民の自発的な学習活動の振興を図り、豊かな市民生活といきいきとした地域社会の発展に寄与
株式会社ジェイコム八王子,S61.1.27,（代）小杉　康寛,H24.6.19,八王子市旭町11-8　アクセスビル7階,,9億5889.5万円（100%）,2790万円（3%）,地域情報基盤の向上を図ると共に、地域に密着した情報の提供により市民生活の向上に寄与
株式会社多摩テレビ,H3.10.15,（代）高松　数則,H25.6.19,多摩市鶴牧1-24-1　新都市センタービル,,4億8000万円（100%）,2000万円（4%）,地域情報基盤の向上を図ると共に、地域に密着した情報の提供により市民生活の向上に寄与
JR東京西駅ビル開発株式会社,S55.8.1,（代）清水　公男,H24.6.28,八王子市旭町1-1,,10億円（100%）,5000万円（5%）,商業の振興と市民生活の便益増進に寄与するため
多摩都市モノレール株式会社,S61.4.8,（代）河島　均,H27.7.1,立川市泉町1078-92,,297億8896万円（100%）,3億3060万円（1%）,多摩地域南北方向の公共交通網の充実、各都市間相互の連携強化、自立性の高い地域形成を図ることを目的とする
公益財団法人立川市地域文化振興財団,S63.4.18,（理）大霜　俊夫　副市長,H24.1.17,立川市錦町3-3-20,,6億5800円（100%）,6億5800円（100%）,市民の文化向上と福祉の増進を図りコミュニティを振興する
株式会社立川都市センター,H3.3.28,（代）小林　勝之,H27.4.1,立川市曙町2-36-2,,6億円（100%）,1億5000万円（25%）,立川基地跡地再開発事業地区等での熱供給事業地区管理事業等
株式会社ジェイコム多摩,S57.10.15,（代）谷津　幸利,H27.6.24,立川市栄町6-1-1 ,,34億7600万円（100%）,5000万円（1%）,人と地域、地域と地域をつなぐケーブルネットを築き暖かなコミュニケーション社会を創出する
株式会社ルミネ,S41.5.21,（代）新井　良亮,H23.6.24,渋谷区代々木2-2-2,,23億7520万円（100%）,5000万円（2%）,駅立地の特性と地域性を生かしたショッピングセンター事業の管理及び運営
一般財団法人武蔵野市開発公社,S43.8.7,（理）小森　岳史,H25.4.1,武蔵野市吉祥寺本町1-13-11　メアリヒト吉祥寺ビル7階,,1000万円（100%）,1000万円（100%）,都市再開発事業を円滑に推進するため必要な施設の整備及び建設並びに都市活性化事業を行い、市の発展に寄与
公益財団法人武蔵野市福祉公社,S55.12.1,（理）萱場　和裕,H28.4.1,武蔵野市吉祥寺北町1-9-1　2階,,4億1599.5万円（100%）,4億1599.5万円（100%）,在宅高齢者や障害者に対するよりよい生きがいと健康づくりの情報と福祉サービスの提供
公益財団法人武蔵野文化事業団,R29.11.1,（理）五十嵐　修　副市長,H27.6.15,武蔵野市中町3-9-11,,8億172万円（100%）,8億円（100%）,市民に優れた芸術文化を提供し、市民の文化、福祉の向上を図り、地域社会の発展と豊かな市民生活の形成に寄与
公益財団法人武蔵野健康づくり事業団,S62.10.1,（理）井田　藤一郎,H19.4.1,武蔵野市吉祥寺北町4-8-10,,5億円（100%）,4億円（80%）,保健医療情報の提供及び各種検診事業、調査研究の実施
公益財団法人武蔵野生涯学習振興事業団,H1.9.29,（理）前田　洋一,H27.4.1,武蔵野市吉祥寺北町5-11-20,,5億円（100%）,5億円（100%）,生涯体育の視点からのスポーツ振興事業の実施
有限会社武蔵野交流センター,H13.9.4,（代）五十嵐　修　副市長,H26.1.30,武蔵野市吉祥寺本町2-33-1,,540万円（100%）,200万円（37%）,友好都市の物産品販売、PR、各種観光情報など「ふるさと情報」の発信を行い、都市と地方、生産者と消費者交流と、商業活動の一層の推進を図る
株式会社エフエムむさしの,H6.10.19,（代）丹羽　斉,H25.7.1,武蔵野市吉祥寺本町1-10-7　武蔵野商工会館3階,,1億円（100%）,1000万円（10%）,FMを通して「マイシティむさしの」による市政情報等の地域密着番組を提供する
株式会社ジェイコム武蔵野三鷹,H6.11.11,（代）榎本　一夫,H26.6.16,三鷹市下連雀8-10-16セコムSCセンター,,30億円（100%）,1000万円（0%）,ブロードバンド、CATV等の接続環境を提供するとともに、地域密着のサービス提供を行う
株式会社アトレ,H2.4.2,（代）石司　次男,H26.6.27,渋谷区恵比寿4-1-18恵比寿ネオナート6階,,16億3000万円（100%）,1950万円（1%）,ＪＲ東日本との駅ビル共同開発、駅ビルの管理及び運営、直営店の運営、駅構内開発プロデュース及び運営委託
公益財団法人武蔵野市国際交流協会,H1.10.13,（理）川口　博久,H19.4.1,武蔵野市境2－14－1　スイング9階,,300万円（100%）,300万円（100%）,国際平和に寄与する開かれたまちづくり
公益財団法人武蔵野市子ども協会,H4.1.7,（理）筒井　敏晴,H22.4.1,武蔵野市境4-11-6,,300万円（100%）,300万円（100%）,安心して子どもを生み育てることができる環境づくり、育児等における子育ての支援を行い、地域と協働した子育てや子どもの育成活動を促進し、活力ある地域社会の形成に寄与
一般財団法人武蔵野市給食・食育振興財団,H22.3.10,（理）佐々木　輝雄,H22.3.10,武蔵野市吉祥寺北町4－11－30,,300万円（100%）,300万円（100%）,学校給食の供給と振興を図り、児童・生徒及び市民の食育の推進に寄与
一般財団法人三鷹市勤労者福祉サービスセンター,H6.2.1,（理）古瀨　英子,H24.10.3,三鷹市新川6-35-16シルバー人材センター２階　,,1億円（100%）,1億円（100%）,市内の中小企業に勤務する勤労者及び市外の中小企業に勤務する市内在住者に対する福祉事業
公益財団法人三鷹市スポーツと文化財団,H7.3.31,（理）内田　治　副市長,H27.7.24,三鷹市上連雀6-12-14,,1億円（100%）,1億円（100%）,心身共に健やかな市民生活の形成と豊かな地域社会の発展に寄与
