,計画延長(km),完成延長(km),概成延長(km),完成率(%)
東京都,3449,2144,397,62.1
東京都・区部,1977,1288,239,65.1
東京都・多摩,1459,847,158,58
東京都・島しょ,10,9,,86.4
東京都・その他,4,1,0,20.2
全国,73758,44327,7618,60.1
