番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,522,33.8
2,11-20%程度増加した,256,16.6
3,21-30%程度増加した,130,8.4
4,31-40%程度増加した,54,3.5
5,41-50%程度増加した,25,1.6
6,51%以上増加した,35,2.3
7,変わらない,505,32.7
8,減少した,18,1.2
全体,,1545,100
