,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,0,21,0,21
中央区,1,10,24,15,50
港区,2,4,23,3,32
新宿区,2,1,51,0,54
文京区,2,5,58,3,68
台東区,1,3,36,2,42
墨田区,2,5,25,0,32
江東区,6,6,176,1,189
品川区,1,3,24,0,28
目黒区,0,3,19,3,25
大田区,1,0,70,0,71
世田谷区,11,16,112,7,146
渋谷区,2,5,30,1,38
中野区,4,25,90,6,125
杉並区,0,2,10,0,12
豊島区,12,25,57,2,96
北区,1,17,55,2,75
荒川区,2,5,39,0,46
板橋区,5,13,69,1,88
練馬区,3,24,106,0,133
足立区,11,25,218,1,255
葛飾区,2,18,25,0,45
江戸川区,3,13,78,4,98
八王子市,5,24,123,2,154
立川市,0,3,37,1,41
武蔵野市,0,7,60,1,68
三鷹市,0,11,35,0,46
青梅市,0,0,23,0,23
府中市,0,9,55,0,64
昭島市,1,4,36,0,41
調布市,1,2,31,0,34
町田市,18,42,117,11,188
小金井市,0,3,21,0,24
小平市,6,3,27,3,39
日野市,7,6,57,4,74
東村山市,3,8,29,0,40
国分寺市,3,8,30,0,41
国立市,0,3,19,0,22
福生市,1,4,11,0,16
狛江市,0,6,10,0,16
東大和市,2,4,20,0,26
清瀬市,1,4,41,5,51
東久留米市,0,3,33,1,37
武蔵村山市,0,0,19,0,19
多摩市,3,5,19,0,27
稲城市,4,5,27,1,37
羽村市,2,3,18,0,23
あきる野市,1,2,11,4,18
西東京市,2,15,82,0,99
瑞穂町,1,0,12,0,13
日の出町,0,0,2,0,2
檜原村,0,0,0,0,0
奥多摩町,0,0,0,0,0
大島町,0,0,0,0,0
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,0,0,0,0,0
青ヶ島村,0,0,0,0,0
小笠原村,0,0,0,0,0
合計,135,412,"2,421",84,"3,052"
