町村名（島名）,南海トラフcase1、早朝、自力脱出困難者,南海トラフcase1、早朝、津波要救助者,南海トラフcase1、昼、自力脱出困難者,南海トラフcase1、昼、津波要救助者,南海トラフcase2、早朝、自力脱出困難者,南海トラフcase2、早朝、津波要救助者,南海トラフcase2、昼、自力脱出困難者,南海トラフcase2、昼、津波要救助者,南海トラフcase5、早朝、自力脱出困難者,南海トラフcase5、早朝、津波要救助者,南海トラフcase5、昼、自力脱出困難者,南海トラフcase5、昼、津波要救助者,南海トラフcase6、早朝、自力脱出困難者,南海トラフcase6、早朝、津波要救助者,南海トラフcase6、昼、自力脱出困難者,南海トラフcase6、昼、津波要救助者,南海トラフcase8、早朝、自力脱出困難者,南海トラフcase8、早朝、津波要救助者,南海トラフcase8、昼、自力脱出困難者,南海トラフcase8、昼、津波要救助者,大正関東、早朝、自力脱出困難者,大正関東、早朝、津波要救助者,大正関東、昼、自力脱出困難者,大正関東、昼、津波要救助者
大島町,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,0 
利島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
新島村（新島）,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 
新島村（式根島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
神津島村,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
三宅村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
御蔵島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
八丈町,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
青ヶ島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小笠原村（父島）,0 ,3 ,0 ,2 ,0 ,4 ,0 ,2 ,0 ,3 ,0 ,3 ,0 ,3 ,0 ,2 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 
小笠原村（母島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
島しょ地域計,0 ,12 ,0 ,4 ,0 ,4 ,0 ,2 ,0 ,4 ,0 ,3 ,0 ,11 ,0 ,3 ,0 ,10 ,0 ,3 ,4 ,0 ,4 ,0 
