市町村名,按分率算定上の道路の基礎数値　延長（ｍ）,按分率算定上の道路の基礎数値　面積（m2）,按分率　延長分,按分率　面積分,交付金額計（千円）,新法分（千円）,旧法分（千円）,区分
都計,75439595,386265424,1.0000000000,1.0000000000,6510330,6510326,4,
区計,49843112,256379962,0.6607022747,0.6637403870,4311337,4311333,4,
市町村計,25596483,129885462,0.3392977253,0.3362596130,2198993,2198993,0,
市計,24274456,123739746,0.3217734135,0.3203490092,2090193,2090193,0,
町村計,1322027,6145716,0.0175243118,0.0159106038,108800,108800,0,
八王子市,3414067,19655154,0.0452556380,0.0508850981,312959,312959,0,八
立川市,987456,5366235,0.0130893598,0.0138926103,87830,87830,0,立
武蔵野市,694869,3198549,0.0092109323,0.0082807023,56936,56936,0,武
三鷹市,1053964,4441213,0.0139709658,0.0114978269,82904,82904,0,三
青梅市,1100362,5151924,0.0145860009,0.0133377819,90896,90896,0,青
府中市,1400467,7408674,0.0185640843,0.0191802671,122865,122865,0,府
昭島市,665676,3205197,0.0088239604,0.0082979133,55733,55733,0,昭
調布市,1297068,5794492,0.0171934645,0.0150013220,104800,104800,0,調
町田市,2588389,13794381,0.0343107489,0.0357121817,227940,227940,0,町
小金井市,662400,2766898,0.0087805349,0.0071632039,51897,51897,0,金
小平市,1007800,4921837,0.0133590325,0.0127421112,84964,84964,0,平
日野市,1087142,5688818,0.0144107614,0.0147277433,94851,94851,0,日
東村山市,864401,4303826,0.0114581872,0.0111421466,73568,73568,0,東
国分寺市,687287,3209511,0.0091104280,0.0083090818,56701,56701,0,分
国立市,457600,2155135,0.0060657802,0.0055794147,37905,37905,0,国
福生市,365584,1838078,0.0048460493,0.0047585880,31262,31262,0,福
狛江市,446774,1912502,0.0059222746,0.0049512638,35393,35393,0,狛
東大和市,529285,2589556,0.0070160106,0.0067040844,44660,44660,0,大
清瀬市,424976,2152445,0.0056333282,0.0055724506,36474,36474,0,清
東久留米市,698407,3363954,0.0092578307,0.0087089182,58485,58485,0,久
武蔵村山市,481344,2308332,0.0063805221,0.0059760254,40222,40222,0,村
多摩市,824674,5416055,0.0109315804,0.0140215889,81225,81225,0,多
稲城市,474629,3068943,0.0062915104,0.0079451662,46340,46340,0,稲
羽村市,356662,2077892,0.0047277825,0.0053794408,32898,32898,0,羽
あきる野市,628533,3192074,0.0083316062,0.0082639393,54019,54019,0,あ
西東京市,1074640,4758071,0.0142450394,0.0123181385,86466,86466,0,西
瑞穂町,287144,1533098,0.0038062771,0.0039690273,25308,25308,0,瑞
日の出町,148446,849939,0.0019677465,0.0022004015,13566,13566,0,日
檜原村,43512,175673,0.0005767793,0.0004547987,3355,3355,0,檜
奥多摩町,128067,461064,0.0016976099,0.0011936455,9409,9409,0,奥
大島町,237641,1010362,0.0031500832,0.0026157195,18766,18766,0,大
利島村,10028,31913,0.0001329275,0.0000826194,698,698,0,利
新島村,64488,346388,0.0008548296,0.0008967616,5699,5699,0,新
神津島村,32874,152418,0.0004357659,0.0003945940,2700,2700,0,神
三宅村,77550,306830,0.0010279748,0.0007943502,5928,5928,0,三
御蔵島村,6562,22405,0.0000869835,0.0000580042,468,468,0,御
八丈町,245460,1039189,0.0032537290,0.0026903495,19348,19348,0,八
青ヶ島村,16632,60271,0.0002204678,0.0001560352,1222,1222,0,青
小笠原村,23623,156166,0.0003131377,0.0004042972,2333,2333,0,小
