X（m）,Y（m）,経度（度）,緯度（度）,浸水深（最大）（m）
-43235,-131685,139.36075574,34.81205681,3.7745
-43225,-131685,139.36086504,34.81205723,3.8312
-43265,-131675,139.36042733,34.81214568,3.2113
-43255,-131675,139.36053663,34.81214610,3.9501
-43245,-131675,139.36064593,34.81214653,4.1153
-43235,-131675,139.36075523,34.81214695,3.4084
-43225,-131675,139.36086453,34.81214738,3.6501
-43215,-131675,139.36097383,34.81214780,3.9499
-43205,-131675,139.36108313,34.81214823,4.0745
-43195,-131675,139.36119243,34.81214865,4.4812
-43185,-131675,139.36130174,34.81214907,4.7906
-43175,-131675,139.36141104,34.81214950,4.8926
-43265,-131665,139.36042681,34.81223583,3.5781
-43255,-131665,139.36053611,34.81223625,3.6109
-43245,-131665,139.36064541,34.81223668,3.1968
-43235,-131665,139.36075471,34.81223710,0.9257
-43225,-131665,139.36086402,34.81223752,0.0288
-43195,-131665,139.36119192,34.81223880,2.8391
-43185,-131665,139.36130122,34.81223922,3.8245
-43175,-131665,139.36141052,34.81223965,4.3919
-43165,-131665,139.36151982,34.81224007,4.5024
-43265,-131655,139.36042630,34.81232597,2.6343
-43255,-131655,139.36053560,34.81232640,1.1438
-43155,-131655,139.36162861,34.81233064,2.8294
-43145,-131655,139.36173791,34.81233106,4.2912
-43135,-131655,139.36184721,34.81233149,4.6471
-43125,-131655,139.36195652,34.81233191,4.9107
-43275,-131645,139.36031648,34.81241570,3.3743
-43265,-131645,139.36042578,34.81241612,1.1906
-43145,-131645,139.36173740,34.81242121,1.2385
-43135,-131645,139.36184670,34.81242163,3.2721
-43125,-131645,139.36195600,34.81242206,4.1392
-43115,-131645,139.36206530,34.81242248,4.9479
-43285,-131635,139.36020666,34.81250542,2.9904
-43275,-131635,139.36031596,34.81250584,2.9224
-43265,-131635,139.36042527,34.81250627,0.5615
-43115,-131635,139.36206479,34.81251263,3.0922
-43105,-131635,139.36217409,34.81251305,4.1542
-43095,-131635,139.36228339,34.81251347,4.9795
-43085,-131635,139.36239270,34.81251390,5.0978
-43075,-131635,139.36250200,34.81251432,5.0005
-43065,-131635,139.36261130,34.81251474,4.8756
-43285,-131625,139.36020615,34.81259556,2.8266
-43275,-131625,139.36031545,34.81259599,1.9614
-43095,-131625,139.36228288,34.81260362,2.2318
-43085,-131625,139.36239218,34.81260404,4.4150
-43075,-131625,139.36250148,34.81260447,4.6607
-43065,-131625,139.36261079,34.81260489,4.6932
-43275,-131615,139.36031493,34.81268614,1.7137
-43065,-131615,139.36261027,34.81269504,2.6363
-43055,-131615,139.36271958,34.81269546,4.2677
-43045,-131615,139.36282888,34.81269588,4.5780
-43035,-131615,139.36293818,34.81269631,4.6132
-43285,-131605,139.36020512,34.81277586,3.2069
-43275,-131605,139.36031442,34.81277628,2.2245
-43055,-131605,139.36271906,34.81278561,0.0001
-43045,-131605,139.36282837,34.81278603,0.8200
-43025,-131605,139.36304697,34.81278688,1.5721
-43005,-131605,139.36326557,34.81278772,2.7163
-42995,-131605,139.36337488,34.81278814,2.0651
-42985,-131605,139.36348418,34.81278856,3.1939
-43285,-131595,139.36020460,34.81286601,3.1793
-43275,-131595,139.36031390,34.81286643,2.2915
-43015,-131595,139.36315576,34.81287744,3.0299
-42225,-131595,139.37179064,34.81291050,5.0170
-42215,-131595,139.37189995,34.81291092,4.6170
-42195,-131595,139.37211855,34.81291175,2.8745
-42185,-131595,139.37222785,34.81291216,2.6923
-42175,-131595,139.37233716,34.81291257,3.6043
-42165,-131595,139.37244646,34.81291299,3.6683
-42155,-131595,139.37255576,34.81291340,4.1458
-43285,-131585,139.36020409,34.81295615,3.1492
-43275,-131585,139.36031339,34.81295658,2.6315
-43265,-131585,139.36042269,34.81295700,0.0044
-42985,-131585,139.36348315,34.81296886,1.6548
-42975,-131585,139.36359246,34.81296928,3.7050
-42235,-131585,139.37168084,34.81300024,4.9668
-42225,-131585,139.37179014,34.81300065,4.3685
-42215,-131585,139.37189944,34.81300106,3.8715
-42205,-131585,139.37200875,34.81300148,3.2787
-42195,-131585,139.37211805,34.81300189,0.5931
-42155,-131585,139.37255526,34.81300355,1.4780
-42145,-131585,139.37266456,34.81300396,3.5005
-42135,-131585,139.37277386,34.81300438,4.8197
-43285,-131575,139.36020357,34.81304630,3.0429
-43275,-131575,139.36031287,34.81304673,2.7488
-43265,-131575,139.36042217,34.81304715,1.4532
-43255,-131575,139.36053148,34.81304757,0.4222
-42985,-131575,139.36348264,34.81305901,2.1534
-42975,-131575,139.36359195,34.81305943,2.7828
-42965,-131575,139.36370125,34.81305985,3.3517
-42255,-131575,139.37146173,34.81308955,3.4626
-42245,-131575,139.37157103,34.81308997,3.9100
-42235,-131575,139.37168034,34.81309038,0.1508
-42135,-131575,139.37277336,34.81309452,3.0360
-42125,-131575,139.37288266,34.81309494,4.7429
-42115,-131575,139.37299197,34.81309535,5.4988
