区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,205,128,55,0,2,7,12,248,169,73,0,2,2,2,16,11,5,0,0,0,0,205,128,55,0,2,7,12,248,169,73,0,2,2,2,16,11,5,0,0,0,0
13102,中央区,113,67,35,0,2,6,4,129,82,43,0,2,1,1,37,24,12,0,0,0,0,113,67,35,0,2,6,4,129,82,43,0,2,1,1,37,24,12,0,0,0,0
13103,港区,206,107,57,0,3,34,4,209,129,70,0,3,6,1,54,35,19,0,0,0,0,206,107,57,0,3,34,4,209,129,70,0,3,6,1,54,35,19,0,0,0,0
13104,新宿区,213,102,46,0,4,60,1,190,118,56,0,4,13,0,92,65,25,0,1,0,0,213,102,46,0,4,60,1,190,118,56,0,3,13,0,92,65,25,0,1,0,0
13105,文京区,180,49,22,0,2,107,1,117,56,27,0,2,32,0,65,46,17,0,1,1,0,180,49,22,0,2,107,1,117,56,27,0,2,32,0,65,46,17,0,1,1,0
13106,台東区,215,141,18,0,4,51,1,184,146,21,0,3,13,0,168,151,15,0,1,1,0,215,141,18,0,4,51,1,184,146,21,0,3,13,0,168,151,15,0,1,1,0
13107,墨田区,381,217,38,0,42,83,0,269,196,41,0,6,25,0,331,280,43,0,4,4,0,380,217,38,0,41,83,0,269,196,41,0,6,25,0,331,280,43,0,4,4,0
13108,江東区,418,267,79,0,6,65,1,378,268,88,0,4,18,0,361,282,75,0,2,2,0,418,267,79,0,6,65,1,378,268,88,0,4,18,0,361,282,75,0,2,2,0
13109,品川区,372,160,35,0,39,137,1,247,163,40,0,21,22,0,212,174,30,0,6,2,0,364,160,35,0,31,137,1,242,163,40,0,16,22,0,211,174,30,0,5,2,0
13110,目黒区,186,72,17,0,25,71,0,116,67,18,0,7,24,0,132,104,21,0,5,2,0,183,72,17,0,22,71,0,115,67,18,0,6,24,0,131,104,21,0,4,2,0
13111,大田区,419,213,42,0,60,104,0,292,194,43,0,32,23,0,373,291,54,0,22,5,0,409,213,42,0,50,104,0,286,194,43,0,26,23,0,368,291,54,0,17,5,0
13112,世田谷区,1063,361,92,0,420,190,0,576,322,97,0,84,73,0,744,533,127,1,79,5,0,1031,361,92,0,389,190,0,568,322,97,0,76,73,0,736,533,127,1,71,5,0
