番号,項目,回答数（人）,回答数（％）
1,QR・バーコード決済のみで実施,935,31.4
2,QR・バーコード決済を中心に実施,844,28.3
3,QR・バーコード決済とそれ以外のキャッシュレス決済を同じ比率で実施,803,26.9
4,QR・バーコード決済以外のキャッシュレス決済を中心に実施,210,7
5,QR・バーコード決済以外のキャッシュレス決済のみで実施,188,6.3
全体,,2980,100
