区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,2451,2060,254,0,5,19,113,3076,2706,335,0,9,4,23,204,182,22,0,0,0,1,2451,2060,254,0,5,19,113,3076,2706,335,0,9,4,23,204,182,22,0,0,0,1
13102,中央区,1300,1083,159,0,6,16,37,1554,1338,198,0,9,3,7,446,389,55,0,1,0,1,1300,1083,159,0,6,16,37,1554,1338,198,0,9,3,7,446,389,55,0,1,0,1
13103,港区,2181,1786,263,1,10,88,34,2509,2155,320,1,10,16,6,679,592,86,0,1,0,0,2181,1786,263,1,10,88,34,2509,2155,320,1,10,16,6,679,592,86,0,1,0,0
13104,新宿区,2077,1687,212,0,15,154,9,2258,1954,257,0,12,32,2,1226,1107,115,0,3,1,0,2077,1687,212,0,14,154,9,2258,1954,257,0,12,32,2,1226,1107,115,0,3,1,0
13105,文京区,1176,788,99,0,9,274,7,1125,911,123,0,7,82,2,825,742,79,0,2,2,0,1175,788,99,0,8,274,7,1125,911,123,0,7,82,2,825,742,79,0,2,2,0
13106,台東区,1672,1438,81,0,13,132,9,1695,1551,96,0,11,33,2,1505,1432,68,0,4,1,0,1672,1438,81,0,13,132,9,1694,1551,96,0,11,33,2,1505,1432,68,0,4,1,0
13107,墨田区,2603,2059,176,0,149,213,4,2226,1950,188,0,22,65,1,2740,2522,194,0,13,11,0,2601,2059,176,0,148,213,4,2226,1950,188,0,22,65,1,2740,2522,194,0,13,11,0
13108,江東区,3630,3072,362,0,21,167,8,3635,3167,403,0,15,47,2,3463,3113,337,0,8,5,0,3630,3072,362,0,21,167,8,3635,3167,403,0,15,47,2,3463,3113,337,0,8,5,0
13109,品川区,2623,1965,163,0,139,350,6,2370,2052,185,0,74,58,1,2184,2020,138,0,23,4,0,2597,1965,163,0,113,350,6,2352,2052,185,0,56,58,1,2179,2020,138,0,17,4,0
13110,目黒区,1278,926,80,0,88,183,0,1043,873,84,0,24,62,0,1408,1292,94,0,16,5,0,1267,926,80,0,78,183,0,1040,873,84,0,21,62,0,1407,1292,94,0,15,5,0
13111,大田区,3267,2591,191,0,216,267,1,2780,2407,199,0,113,60,0,3849,3511,244,0,80,13,0,3231,2591,191,0,180,267,1,2758,2407,199,0,91,60,0,3830,3511,244,0,61,13,0
13112,世田谷区,6394,3979,421,1,1505,487,1,4607,3673,443,1,301,188,1,6642,5775,572,1,282,12,0,6282,3979,421,1,1392,487,1,4578,3673,443,1,272,188,1,6614,5775,572,1,253,12,0
13113,渋谷区,2105,1745,164,0,16,173,8,2119,1874,182,0,12,48,2,1117,1030,79,0,3,4,0,2105,1745,164,0,16,173,8,2119,1874,182,0,12,48,2,1117,1030,79,0,3,4,0
13114,中野区,2301,919,86,0,83,1212,2,1220,840,90,0,27,262,0,1503,1342,113,0,19,28,0,2295,919,86,0,76,1212,2,1216,840,90,0,23,262,0,1502,1342,113,0,18,28,0
13115,杉並区,3410,2139,128,0,863,280,1,2542,1867,130,0,452,93,0,4138,3440,193,0,494,11,0,3398,2139,128,0,851,280,1,2536,1867,130,0,446,93,0,4131,3440,193,0,487,11,0
13116,豊島区,1467,958,102,0,47,357,4,1256,999,117,0,21,118,1,1260,1148,99,0,11,1,0,1455,958,102,0,35,357,4,1254,999,117,0,19,118,1,1258,1148,99,0,10,1,0
13117,北区,2085,1613,90,0,21,360,2,1683,1474,95,0,13,100,1,2391,2254,115,0,11,10,0,2085,1613,90,0,20,360,2,1683,1474,95,0,12,100,1,2390,2254,115,0,11,10,0
13118,荒川区,2155,1878,130,0,42,104,1,1818,1647,132,0,14,24,0,2851,2665,171,0,12,2,0,2151,1878,130,0,39,104,1,1818,1647,132,0,14,24,0,2851,2665,171,0,12,2,0
13119,板橋区,2390,1994,145,0,78,171,1,2100,1865,148,0,24,62,0,2852,2629,191,0,22,9,0,2381,1994,145,0,69,171,1,2099,1865,148,0,23,62,0,2851,2629,191,0,21,9,0
13120,練馬区,3564,2177,168,0,919,300,0,2437,1869,162,0,313,92,0,3792,3193,247,0,342,10,0,3540,2177,168,0,895,300,0,2428,1869,162,0,304,92,0,3782,3193,247,0,331,10,0
13121,足立区,7244,5744,364,0,941,195,0,5584,4958,357,0,197,71,0,8412,7734,477,0,192,9,0,7202,5744,364,0,898,195,0,5575,4958,357,0,189,71,0,8403,7734,477,0,183,9,0
