,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
総人口,8945695,9096810,9161781,9147666,9054897,8910110,8649955,8377003,8064925,7709648,7321438,6928583,6546168,6185870,5847881,5524397,5212359,4909721,4616680
世帯数,4530540,4631334,4722806,4776469,4799545,4777343,4569616,4444727,4287299,4109992,3911457,3710224,3513658,3326381,3149945,2979833,2815669,2655876,2499891
