番号,項目,回答数,そう思う_回答数（人）,そう思う_回答数（%）,そう思わない_回答数（人）,そう思わない_回答数（%）
1,30代以下（n=884),884,635,71.8,249,28.2
2,"40代以上(n=2,096)",2096,1208,57.6,888,42.4
全体,,2980,,,,
