番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,255,11.5
2,11-20%程度増加した,297,13.3
3,21-30%程度増加した,296,13.3
4,31-40%程度増加した,138,6.2
5,41-50%程度増加した,93,4.2
6,51%以上増加した,205,9.2
7,変わらない,936,42.0
8,減少した,6,0.3
全体,,2226,100
