区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13101,千代田区,12594,12595,12593,12594,12595,12593,11613,11613,11611,11613,11613,11611,6600,6600,6599,6600,6600,6599,1628,1628,1628,1628,1628,1628
13102,中央区,50126,50124,50102,50126,50124,50102,31166,31168,31156,31166,31167,31156,26723,26725,26713,26723,26725,26713,6089,6089,6089,6089,6089,6089
13103,港区,58408,58369,58298,58380,58349,58290,34830,34818,34773,34814,34805,34769,28586,28579,28541,28575,28570,28539,6163,6163,6162,6162,6162,6162
13104,新宿区,41038,40815,40708,41024,40807,40702,44708,44453,44331,44694,44443,44325,18362,18227,18147,18356,18224,18146,3745,3737,3734,3745,3737,3734
13105,文京区,39160,38789,38630,39088,38741,38603,40163,39877,39711,40080,39818,39679,17533,17399,17286,17496,17374,17278,2742,2739,2737,2741,2738,2737
13106,台東区,65468,65056,64886,65450,65046,64880,60290,60057,59892,60275,60045,59886,38125,38026,37908,38118,38021,37906,2975,2974,2973,2975,2974,2973
13107,墨田区,123018,107483,106734,122838,107457,106715,97711,91191,90480,97620,91132,90464,67080,66316,65789,67061,66304,65783,3936,3923,3908,3936,3923,3908
13108,江東区,234027,217821,211833,233560,217662,211793,137676,136832,136623,137641,136803,136607,121844,121077,120883,121817,121064,120874,11237,11221,11214,11236,11220,11214
13109,品川区,131126,101943,99607,125196,100636,98631,79485,75601,73716,78009,74694,73102,66958,63587,61866,65847,63004,61540,5570,5485,5424,5544,5470,5417
13110,目黒区,71172,55459,54340,69671,55139,54104,44774,41579,40656,44246,41345,40499,33245,31209,30374,33007,31075,30304,2167,2047,1981,2145,2034,1974
13111,大田区,313000,250493,247734,303408,248740,246329,168276,163430,161556,166498,162383,160766,207520,201517,199242,205648,200574,198587,5449,5310,5217,5395,5280,5200
13112,世田谷区,252337,181166,178110,245907,179700,176904,227137,164531,161288,221269,162960,160123,101913,95142,92796,100750,94542,92402,9303,8405,7987,9076,8278,7902
13113,渋谷区,53124,51994,51804,52965,51940,51770,43534,43297,43133,43457,43245,43102,21622,21534,21423,21587,21512,21415,2570,2557,2546,2564,2553,2544
13114,中野区,38098,35883,35187,37698,35685,35047,48402,45581,44768,48039,45360,44617,18049,16775,16238,17889,16690,16195,2204,1958,1850,2167,1937,1838
13115,杉並区,100623,85461,81278,100147,85201,81084,122469,101867,97183,121864,101489,96920,47322,39129,35838,47087,39005,35765,13592,9509,7650,13476,9445,7611
13116,豊島区,48203,46602,45936,47726,46323,45739,47880,45992,45240,47289,45632,44986,16190,15334,14869,15950,15210,14805,2430,2374,2348,2413,2366,2343
13117,北区,86748,85458,85207,86637,85403,85166,77212,76161,75915,77119,76103,75876,28452,28007,27839,28418,27989,27829,4899,4875,4866,4896,4874,4866
13118,荒川区,90680,83694,83317,90287,83629,83272,78745,76444,76074,78580,76371,76033,38894,38525,38302,38856,38502,38290,3312,3312,3311,3312,3311,3311
13119,板橋区,92854,90579,89932,92431,90348,89749,99749,96775,96057,99223,96477,95825,28048,27008,26605,27872,26922,26550,6146,6052,6018,6127,6042,6012
13120,練馬区,78033,70281,67342,77532,69985,67130,129837,99075,95114,128550,98474,94707,29551,24911,22740,29265,24748,22639,8892,7445,6787,8799,7392,6754
13121,足立区,286932,252450,244477,284558,251759,244132,253931,222942,221165,252098,222478,220850,104189,101820,100715,103963,101689,100628,6715,6478,6317,6693,6464,6309
13122,葛飾区,169051,157040,155694,166902,156299,155152,145561,139029,138167,144408,138590,137855,85167,84063,83456,84825,83856,83323,2967,2909,2861,2949,2898,2855
13123,江戸川区,284088,254035,242473,273379,248217,238780,128255,124851,123954,126746,124042,123378,145797,142926,142023,144618,142250,141566,6051,5938,5889,6013,5917,5877
13201,八王子市,27052,26000,25472,26851,25880,25384,86163,81833,80350,85330,81331,79948,37285,35858,35241,36983,35664,35085,62890,58821,57470,62046,58328,57064
13202,立川市,4893,4648,4521,4872,4635,4511,17164,16450,16207,17097,16409,16174,3889,3773,3713,3862,3752,3693,50191,41181,37647,49711,40979,37523
13203,武蔵野市,18156,16585,15955,18114,16561,15938,30861,25931,25152,30768,25877,25124,9785,8836,8361,9760,8821,8352,8294,7671,7321,8276,7661,7314
13204,三鷹市,21680,19658,19259,21525,19575,19195,29960,26619,26168,29650,26451,26029,9608,8631,8341,9517,8581,8305,6395,5650,5411,6305,5601,5375
13205,青梅市,1194,1125,1088,1189,1121,1086,10950,10571,10435,10921,10552,10421,1355,1284,1244,1345,1275,1238,19511,18684,18416,19451,18647,18387
13206,府中市,24684,23697,23380,24454,23557,23272,32570,31021,30627,32255,30825,30477,12727,12176,11964,12577,12070,11877,30183,27122,26243,29263,26552,25895
13207,昭島市,3149,3056,2997,3138,3049,2992,16619,16045,15802,16565,16007,15774,3722,3628,3566,3701,3610,3549,37433,31156,29271,37070,31011,29188
13208,調布市,28555,25772,25332,27287,25447,25056,34277,31291,30818,33165,30991,30576,12336,11583,11298,12106,11467,11216,3946,3556,3386,3880,3519,3360
13209,町田市,30782,29523,29215,30566,29396,29109,58411,52541,52061,57700,52264,51830,42973,41042,40627,42656,40872,40486,7909,7392,7215,7798,7326,7164
