区市町村名,消防団・本部,消防団・分団,消防団・加入者数,社会福祉協議会,民生委員・児童委員（人）,保護司（人）,日赤支部（地区）,防犯協会,交通安全協会,地縁団体,老人クラブ,区分
総計,98,717,23072,62,10212,3482,60,123,125,9064,3679,
区計,58,439,13851,23,7132,2480,23,80,80,4451,2349,
千代田区,3,8,334,1,50,45,1,4,4,109,6,千
中央区,3,18,383,1,103,48,1,4,4,175,60,中
港区,4,19,511,1,148,77,1,7,6,241,50,港
新宿区,3,19,527,1,298,123,1,4,4,200,119,新
文京区,2,12,380,1,145,74,1,4,4,155,66,文
台東区,3,16,481,1,205,76,1,4,4,199,119,台
墨田区,2,17,535,1,187,78,1,2,2,169,152,墨
江東区,2,18,501,1,289,116,1,3,3,277,126,江
品川区,3,17,587,1,304,100,1,5,5,203,114,品
目黒区,1,12,496,1,224,59,1,2,2,82,40,目
大田区,4,31,1001,1,493,230,1,5,6,217,157,大
世田谷区,3,36,1000,1,607,137,1,4,4,197,95,世
渋谷区,1,11,416,1,194,81,1,3,3,105,46,渋
中野区,2,16,365,1,293,92,1,2,2,110,64,中
杉並区,2,16,639,1,400,84,1,3,3,162,67,杉
豊島区,2,13,413,1,234,120,1,3,3,129,76,豊
北区,3,23,546,1,312,116,1,3,3,182,127,北
荒川区,2,14,423,1,215,101,1,3,3,120,79,荒
板橋区,2,18,679,1,511,132,1,3,3,214,137,板
練馬区,3,23,709,1,567,88,1,3,3,252,136,練
足立区,3,29,1038,1,541,216,1,4,4,434,165,足
葛飾区,2,27,930,1,382,127,1,2,2,241,149,葛
江戸川区,3,26,957,1,430,160,1,3,3,278,199,江
市町村計,40,278,9221,39,3080,1002,37,43,45,4613,1330,
市計,26,219,7177,26,2891,948,26,31,30,4480,1214,
八王子市,1,12,1383,1,445,146,1,3,3,572,208,八
立川市,1,10,165,1,156,48,1,1,1,182,88,立
武蔵野市,1,10,255,1,98,28,1,1,1,1,29,武
三鷹市,1,10,204,1,112,25,1,1,1,99,29,三
青梅市,1,8,571,1,147,34,1,1,1,171,56,青
府中市,1,18,416,1,165,58,1,1,1,399,90,府
昭島市,1,4,84,1,84,36,1,1,1,99,55,昭
調布市,1,15,304,1,155,59,1,1,1,379,36,調
町田市,1,5,575,1,235,99,1,2,2,310,123,町
小金井市,1,5,74,1,72,23,1,1,1,74,13,金
小平市,1,9,146,1,122,19,1,1,1,370,30,平
日野市,1,8,402,1,131,27,1,1,1,243,48,日
東村山市,1,7,131,1,102,30,1,1,1,304,47,東
国分寺市,1,6,89,1,76,30,1,1,1,123,25,分
国立市,1,6,126,1,52,25,1,1,1,71,26,国
福生市,1,5,185,1,48,22,1,1,1,32,25,福
狛江市,1,6,108,1,48,19,1,1,1,30,16,狛
東大和市,1,7,153,1,56,20,1,2,1,73,16,大
清瀬市,1,7,143,1,51,16,1,1,1,179,26,清
東久留米市,1,10,219,1,57,26,1,1,1,131,27,久
武蔵村山市,1,8,190,1,61,27,1,1,1,54,35,村
多摩市,1,10,211,1,99,30,1,1,1,197,34,多
稲城市,1,8,186,1,60,19,1,1,1,38,12,稲
羽村市,1,6,190,1,51,18,1,1,1,39,31,羽
あきる野市,1,7,441,1,70,29,1,2,2,85,46,あ
西東京市,1,12,226,1,138,35,1,1,1,225,43,西
町村計,14,59,2044,13,189,54,11,12,15,133,116,
瑞穂町,1,5,170,1,35,17,1,1,1,40,18,瑞
日の出町,1,5,165,1,27,7,1,1,1,27,10,日
檜原村,1,4,198,1,12,2,1,1,1,26,7,檜
奥多摩町,1,6,305,1,21,7,1,1,3,21,16,奥
大島町,1,8,300,1,27,8,1,1,1,‐,25,大
利島村,1,2,38,1,2,‐,‐,‐,‐,‐,‐,利
新島村,2,11,190,1,10,2,1,2,2,10,11,新
神津島村,1,3,190,1,7,‐,1,1,1,1,1,神
三宅村,1,5,117,1,11,2,1,1,1,5,5,三
御蔵島村,1,2,34,1,1,1,1,1,1,‐,‐,御
八丈町,1,5,256,1,30,8,1,1,1,3,20,八
青ヶ島村,1,2,23,1,‐,‐,‐,‐,1,‐,1,青
小笠原村,1,1,58,1,6,‐,1,1,1,‐,2,小
