市区町村コード,市区町村名,揺れによる全壊棟数(木造),揺れによる全壊棟数(非木造),揺れによる全壊棟数(合計),揺れによる大規模半壊棟数(木造),揺れによる大規模半壊棟数(非木造),揺れによる大規模半壊棟数(合計),揺れによる半壊棟数(木造),揺れによる半壊棟数(非木造),揺れによる半壊棟数(合計),液状化による全壊棟数(木造),液状化による全壊棟数(非木造),液状化による全壊棟数(合計),液状化による大規模半壊棟数(木造),液状化による大規模半壊棟数(非木造),液状化による大規模半壊棟数(合計),液状化による半壊棟数(木造),液状化による半壊棟数(非木造),液状化による半壊棟数(合計),急傾斜地崩壊による全壊棟数(木造),急傾斜地崩壊による全壊棟数(非木造),急傾斜地崩壊による全壊棟数(合計),急傾斜地崩壊による大規模半壊棟数(木造),急傾斜地崩壊による大規模半壊棟数(非木造),急傾斜地崩壊による大規模半壊棟数(合計),急傾斜地崩壊による半壊棟数(木造),急傾斜地崩壊による半壊棟数(非木造),急傾斜地崩壊による半壊棟数(合計),建物全壊棟数(木造),建物全壊棟数(非木造),建物全壊棟数(合計),建物大規模半壊棟数(木造),建物大規模半壊棟数(非木造),建物大規模半壊棟数(合計),建物半壊棟数(木造),建物半壊棟数(非木造),建物半壊棟数(合計)
13101,千代田区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13102,中央区,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13103,港区,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
13104,新宿区,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13105,文京区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13106,台東区,0,0,0,3,0,4,35,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,35,8,43
13107,墨田区,0,0,0,2,0,3,28,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,28,9,38
13108,江東区,0,0,0,1,0,1,10,6,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,7,17
13109,品川区,0,0,0,1,0,1,10,5,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,6,16
13110,目黒区,0,0,0,6,1,7,55,19,74,1,0,1,2,1,3,5,2,8,0,0,0,0,0,0,0,0,0,1,0,1,8,2,9,60,21,81
13111,大田区,0,0,0,6,1,7,75,22,97,2,0,2,4,1,6,12,4,16,0,0,0,0,0,0,0,0,0,2,0,2,10,2,13,87,26,113
13112,世田谷区,10,4,14,66,7,73,514,120,634,5,0,5,13,3,16,36,10,45,0,0,0,0,0,0,0,0,0,15,4,19,79,11,89,549,129,679
13113,渋谷区,0,0,0,2,1,3,23,12,35,3,0,3,4,2,6,13,4,17,0,0,0,0,0,0,0,0,0,3,0,3,7,2,9,36,16,52
13114,中野区,0,0,0,3,1,4,30,13,43,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,32,14,46
13115,杉並区,22,4,26,82,6,88,521,101,622,4,0,4,7,2,9,21,5,26,0,0,0,0,0,0,0,0,0,25,4,30,89,8,97,542,106,648
13116,豊島区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13117,北区,5,1,6,31,1,33,222,24,245,2,0,2,4,2,5,10,5,15,0,0,0,0,0,0,0,0,0,7,1,8,35,3,38,232,28,260
13118,荒川区,4,1,5,34,2,35,252,25,277,1,0,1,2,0,2,4,1,5,0,0,0,0,0,0,0,0,0,5,1,6,35,2,37,256,26,282
13119,板橋区,5,3,8,18,2,21,114,34,148,5,0,5,10,3,13,27,9,37,0,0,0,0,0,0,0,0,0,10,3,13,28,6,34,141,44,185
13120,練馬区,19,5,24,58,4,62,365,64,430,4,0,4,9,2,10,24,5,29,0,0,0,0,0,0,0,0,0,23,5,28,67,6,73,390,69,459
13121,足立区,3,1,4,29,3,31,250,48,298,11,0,11,17,6,22,46,16,62,0,0,0,0,0,0,0,0,0,14,1,15,45,8,53,296,64,360
13122,葛飾区,0,0,0,2,0,3,29,7,36,1,0,1,2,0,2,5,1,6,0,0,0,0,0,0,0,0,0,1,0,1,4,1,5,34,8,42
13123,江戸川区,0,0,0,5,1,6,56,12,68,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,56,12,69
13201,八王子市,1478,267,1745,1592,103,1695,7840,970,8811,15,0,16,38,8,46,107,23,130,37,9,46,16,4,20,84,21,105,1530,276,1807,1646,116,1762,8032,1014,9046
13202,立川市,1913,558,2471,603,159,762,2389,1179,3568,1,0,1,2,1,3,6,2,8,0,0,0,0,0,0,0,0,0,1914,558,2471,605,160,765,2395,1181,3576
13203,武蔵野市,37,13,51,81,7,88,454,84,538,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,37,13,51,82,7,89,456,85,540
13204,三鷹市,44,11,56,98,6,104,549,77,625,2,0,2,5,1,6,13,3,16,0,0,0,0,0,0,0,0,0,46,12,57,102,7,109,562,79,641
