番号,項目,回答数（人）,回答数（％）
1,1000万円未満,596,38.6
2,1000-5000万円未満,556,36
3,5000万-1億円未満,151,9.8
4,1-3億円未満,141,9.1
5,3-5億円未満,41,2.7
6,5-10億円未満,20,1.3
7,10億円以上,40,2.6
全体,,1545,100
