町村・島,揺れによる木造全壊棟数,揺れによる非木造全壊棟数,揺れによる全壊棟数合計,揺れによる木造大規模半壊棟数,揺れによる非木造大規模半壊棟数,揺れによる大規模半壊棟数合計,揺れによる木造半壊棟数,揺れによる非木造半壊棟数,揺れによる半壊棟数合計,急傾斜地崩壊による木造全壊棟数,急傾斜地崩壊による非木造全壊棟数,急傾斜地崩壊による全壊棟数合計,急傾斜地崩壊による木造大規模半壊棟数,急傾斜地崩壊による非木造大規模半壊棟数,急傾斜地崩壊による大規模半壊棟数合計,急傾斜地崩壊による木造半壊棟数,急傾斜地崩壊による非木造半壊棟数,急傾斜地崩壊による半壊棟数合計,津波による木造全壊棟数,津波による非木造全壊棟数,津波による全壊棟数合計,津波による木造大規模半壊棟数,津波による非木造大規模半壊棟数,津波による大規模半壊棟数合計,津波による木造半壊棟数,津波による非木造半壊棟数,津波による半壊棟数合計
大島町,0,0,0,5.765958948,0.218545165,5.984504113,53.30102336,3.92730137,57.22832473,5.436,0,5.436,5.765958948,0.218545165,5.984504113,12.51181339,0,12.51181339,13,6,19,34,22,56,15,7,22
利島村,0,0,0,0.062378616,0.003009044,0.065387661,0.677334361,0.058543127,0.735877488,3.72,0,3.72,0.062378616,0.003009044,0.065387661,8.544608113,0,8.544608113,0,4,4,0,0,0,0,0,0
新島村新島,0,0,0,0.329344078,0.107573193,0.436917271,2.872916523,1.931200863,4.804117386,5.268,0,5.268,0.329344078,0.107573193,0.436917271,8.667880738,0,8.667880738,338,416,754,54,79,133,33,35,68
新島村式根島,0,0,0,0.182022135,0.011821706,0.193843841,1.897543431,0.233429414,2.130972845,0,0,0,0.182022135,0.011821706,0.193843841,0,0,0,9,7,16,4,4,8,2,1,3
神津島村,0,0,0,0.501592058,0.074248886,0.575840944,4.933774987,1.37551392,6.309288907,8.364,0,8.364,0.501592058,0.074248886,0.575840944,17.12207499,0,17.12207499,106,80,186,14,8,22,5,4,9
三宅村,0,0,0,0.000372863,6.95431E-05,0.000442407,0.005427173,0.001634251,0.007061423,0,0,0,0.000372863,6.95431E-05,0.000442407,0,0,0,106,17,123,18,7,25,11,4,15
御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,67,36,36,72,19,12,31
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原村父島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,54,64,19,57,76,9,24,33
小笠原村母島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,1,1,2
