番号,項目,回答数（人）,回答数（％）
1,事業をきっかけにはじめてキャッシュレス決済を利用した,614,20.6
2,事業をきっかけに普段使用していなかったキャッシュレス決済の利用を再開した,278,9.3
3,事業に参加する前からキャッシュレス決済を日常的に利用していた,1948,65.4
4,キャッシュレス決済を利用していない,140,4.7
全体,,2980,100
