番号,項目,回答数（人）,回答数（％）
1,割引やポイント等の特典の還元率が高いから,1922 ,67.7 
2,使用できるお店が多いから,1515 ,53.3 
3,手軽に利用できるから,1722 ,60.6 
4,チャージが不要だから,494 ,17.4 
5,使いすぎの心配がないから,180 ,6.3 
6,使用明細がすぐに確認できるから,366 ,12.9 
7,操作が分かりやすいから,245 ,8.6 
8,携帯１つで決済できるから,416 ,14.6 
9,その他,16 ,0.6 
全体,,2840 ,
