町村・島,揺れによる木造全壊棟数,揺れによる非木造全壊棟数,揺れによる全壊棟数合計,揺れによる木造大規模半壊棟数,揺れによる非木造大規模半壊棟数,揺れによる大規模半壊棟数合計,揺れによる木造半壊棟数,揺れによる非木造半壊棟数,揺れによる半壊棟数合計,急傾斜地崩壊による木造全壊棟数,急傾斜地崩壊による非木造全壊棟数,急傾斜地崩壊による全壊棟数合計,急傾斜地崩壊による木造大規模半壊棟数,急傾斜地崩壊による非木造大規模半壊棟数,急傾斜地崩壊による大規模半壊棟数合計,急傾斜地崩壊による木造半壊棟数,急傾斜地崩壊による非木造半壊棟数,急傾斜地崩壊による半壊棟数合計,津波による木造全壊棟数,津波による非木造全壊棟数,津波による全壊棟数合計,津波による木造大規模半壊棟数,津波による非木造大規模半壊棟数,津波による大規模半壊棟数合計,津波による木造半壊棟数,津波による非木造半壊棟数,津波による半壊棟数合計
大島町,0,0,0,5.951317855,0.2335259,6.184843755,55.06289337,4.197302632,59.260196,5.436,0,5.436,5.951317855,0.2335259,6.184843755,12.54471033,0,12.54471033,0,1,1,2,1,3,0,0,0
利島村,0,0,0,0.062378616,0.003361333,0.065739949,0.677334361,0.064736916,0.742071277,3.72,0,3.72,0.062378616,0.003361333,0.065739949,8.652087461,0,8.652087461,0,0,0,0,0,0,0,0,0
新島村新島,0,0,0,0.821221457,0.292735532,1.113956989,7.123753428,5.181157695,12.30491112,5.268,0,5.268,0.821221457,0.292735532,1.113956989,12.21472016,0,12.21472016,0,0,0,0,1,1,0,0,0
新島村式根島,0,0,0,0.199536555,0.014256361,0.213792916,2.080145192,0.282054267,2.362199459,0,0,0,0.199536555,0.014256361,0.213792916,0,0,0,0,0,0,0,1,1,0,0,0
神津島村,0,0,0,0.754712417,0.150343472,0.905055888,7.2633825,2.691103604,9.954486104,8.364,0,8.364,0.754712417,0.150343472,0.905055888,19.38668682,0,19.38668682,0,0,0,0,2,2,0,0,0
三宅村,0,0,0,0.000408553,0.000334616,0.000743169,0.005876795,0.00757702,0.013453815,0,0,0,0.000408553,0.000334616,0.000743169,0,0,0,0,0,0,0,2,2,0,0,0
御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,7,0,1,1
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原村父島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,138,187,23,82,105,13,37,50
小笠原村母島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,44,9,4,13,5,2,7
