番号,項目,回答数（人）,回答数（％）
1,デジタルのみで実施,915,59.2
2,デジタルを中心に実施し、紙も少し実施,270,17.5
3,デジタルと紙を同じ比率で実施,232,15
4,紙を中心に実施し、デジタルも少し実施,50,3.2
5,紙のみで実施,78,5
全体,,1545,100
