番号,項目,回答数（人）,回答数（％）
1,普段よりかなり多く消費した（30%以上）,290,9.7
2,普段より多く消費した（10%-30%未満）,757,25.4
3,普段より少し多く消費した（1%-10%未満）,776,26.0
4,普段と同じ程度の消費だった,1117,37.5
5,普段より少ない消費だった,40,1.3
全体,,2980,100
