,兆ドル
ニューヨーク,11.8
ナスダック,3.8
東京,3.3
ロンドン,3.3
上海,2.4
ユーロネクスト,2.4
香港,2.3
トロント,1.9
ドイツ,1.2
ボペスパ,1.2
大阪,0.2
