区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13101,千代田区,2,3,0,2,3,0,2,2,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
13102,中央区,13,14,9,13,14,9,5,5,3,5,5,3,3,3,2,3,3,2,0,0,0,0,0,0
13103,港区,20,22,10,20,22,10,7,7,3,7,7,3,5,5,2,5,5,2,0,0,0,0,0,0
13104,新宿区,9,8,9,9,8,9,10,9,10,10,9,10,2,2,2,2,2,2,0,0,0,0,0,0
13105,文京区,11,8,11,11,8,11,12,9,12,12,9,12,3,2,2,3,2,2,0,0,0,0,0,0
13106,台東区,50,40,70,50,40,70,43,34,60,43,34,60,19,15,25,19,15,25,0,0,0,0,0,0
13107,墨田区,195,108,219,194,108,219,124,77,157,124,77,157,56,39,79,56,39,79,0,0,0,0,0,0
13108,江東区,195,138,224,194,137,224,61,46,83,61,46,83,48,36,65,48,36,65,0,0,0,0,0,0
13109,品川区,118,56,85,108,53,84,48,33,51,45,32,50,35,24,37,34,23,36,0,0,0,0,0,0
13110,目黒区,92,40,75,88,40,74,40,26,46,39,25,46,27,17,31,26,17,31,1,0,0,1,0,0
13111,大田区,488,209,394,455,202,388,127,86,159,122,83,157,201,137,265,195,134,263,1,1,0,1,1,0
13112,世田谷区,409,167,309,391,163,304,357,147,271,341,143,267,95,61,108,92,59,106,5,3,3,5,3,2
13113,渋谷区,19,16,19,19,15,19,13,11,13,13,10,13,4,3,3,4,3,3,0,0,0,0,0,0
13114,中野区,45,22,34,44,22,33,65,33,52,64,33,52,17,8,9,17,8,9,1,1,1,1,1,0
13115,杉並区,193,115,200,192,115,199,255,150,261,253,149,259,76,42,57,75,42,56,30,17,15,30,17,15
13116,豊島区,26,18,27,25,17,26,28,20,28,27,19,27,6,4,3,5,3,3,0,0,0,0,0,0
13117,北区,118,79,172,118,79,172,96,64,139,95,64,139,16,10,20,16,10,20,0,0,0,0,0,0
13118,荒川区,193,117,268,191,116,268,153,101,234,152,101,234,41,28,63,41,28,63,0,0,0,0,0,0
13119,板橋区,69,47,88,68,46,88,80,54,101,79,53,101,11,7,9,10,6,9,1,0,1,1,0,1
13120,練馬区,105,62,102,103,61,101,241,110,185,237,109,184,38,21,23,37,21,23,11,6,6,11,6,6
13121,足立区,626,343,650,616,340,648,504,264,539,496,262,538,83,54,103,83,54,102,2,1,1,2,1,1
13122,葛飾区,222,114,226,211,110,222,155,86,174,149,84,172,46,29,55,45,28,55,1,0,0,1,0,0
13123,江戸川区,411,241,367,372,221,351,71,45,83,66,43,81,86,56,107,82,54,105,1,0,0,1,0,0
13201,八王子市,19,13,19,19,13,19,92,63,100,90,61,99,30,21,31,29,20,31,73,49,76,70,47,75
13202,立川市,3,2,2,3,2,2,17,12,17,17,12,17,3,2,2,3,2,2,116,75,96,114,75,95
13203,武蔵野市,16,10,12,16,10,12,34,18,22,34,18,22,7,5,4,7,5,4,5,3,3,5,3,3
13204,三鷹市,28,17,30,28,17,30,42,25,44,41,25,44,9,5,8,9,5,8,6,4,5,6,4,4
13205,青梅市,1,1,1,1,1,1,19,12,22,19,12,22,2,2,2,2,2,2,47,32,56,47,31,56
13206,府中市,19,13,22,19,13,21,26,18,29,26,17,28,8,6,7,7,5,7,33,20,30,30,19,29
13207,昭島市,1,1,1,1,1,1,16,11,17,16,11,17,3,2,2,3,2,2,89,51,75,88,51,75
13208,調布市,35,20,35,31,20,34,38,23,39,35,22,38,9,6,8,9,5,8,3,2,2,3,2,2
13209,町田市,36,24,44,36,23,44,83,46,83,80,45,82,54,34,64,52,34,63,7,5,7,7,4,7
13210,小金井市,12,8,12,12,8,12,31,16,25,31,16,25,7,4,5,7,4,5,14,7,10,14,7,10
13211,小平市,14,9,15,13,8,15,55,27,48,52,26,47,8,5,7,7,5,7,46,25,46,44,24,45
13212,日野市,8,5,9,8,5,9,29,18,31,28,17,31,7,5,8,7,5,7,51,30,51,49,29,51
13213,東村山市,5,3,4,5,3,4,30,16,29,29,16,29,1,1,1,1,1,1,17,10,18,16,10,17
13214,国分寺市,14,7,11,13,7,10,31,15,24,30,15,24,9,5,7,9,5,7,67,29,45,61,26,43
13215,国立市,5,3,4,4,3,4,10,7,10,8,6,9,3,2,2,2,2,2,52,32,33,45,28,30
13218,福生市,0,0,0,0,0,0,6,4,6,6,4,6,1,1,1,1,1,1,27,16,24,27,16,23
13219,狛江市,27,9,14,26,9,14,39,18,30,39,17,30,9,5,7,9,5,7,1,0,0,1,0,0
