区分,平成26年度末現在高Ａ  ,Ａの内訳・１公共事業等債,Ａの内訳・１公共事業等債・うち財源対策債等,Ａの内訳・２公営住宅建設事業債,Ａの内訳・３災害復旧事業債,Ａの内訳・３災害復旧事業債・（1）単独災害復旧事業債,Ａの内訳・３災害復旧事業債・（2）補助災害復旧事業債,Ａの内訳・４（旧）緊急防災・減災事業債,Ａの内訳・４（旧）緊急防災・減災事業債・（1）補助・直轄,Ａの内訳・４（旧）緊急防災・減災事業債・（2）継ぎ足し単独事業,Ａの内訳・４（旧）緊急防災・減災事業債・（3）緊急防災・減災事業計画に基づく単独事業,Ａの内訳・５教育･福祉施設等整備事業債,Ａの内訳・５教育･福祉施設等整備事業債・（1）学校教育施設等整備事業債,Ａの内訳・５教育･福祉施設等整備事業債・（2）社会福祉施設整備事業債,Ａの内訳・５教育･福祉施設等整備事業債・（3）一般廃棄物処理事業債,Ａの内訳・５教育･福祉施設等整備事業債・（4）一般補助施設整備等事業債,Ａの内訳・５教育･福祉施設等整備事業債・（5）施設整備事業債（一般財源化分）,Ａの内訳・６一般単独事業債,Ａの内訳・６一般単独事業債・うち地域総合整備事業債,Ａの内訳・６一般単独事業債・うち地域活性化事業債,Ａの内訳・６一般単独事業債・うち防災対策事業債,Ａの内訳・６一般単独事業債・うち地方道路等整備事業債,Ａの内訳・６一般単独事業債・うち一般事業債（河川等分）,Ａの内訳・６一般単独事業債・うち地域再生事業債,Ａの内訳・６一般単独事業債・うち臨時経済対策事業債,Ａの内訳・６一般単独事業債・うち（新）緊急防災・減災事業債,Ａの内訳・７公共用地先行取得等事業債,Ａの内訳・８厚生福祉施設整備事業債,Ａの内訳・９国の予算貸付・政府関係機関貸付債,Ａの内訳・１０財源対策債,Ａの内訳・１１減収補塡債(S57･61･H5～7･9～26年度分),Ａの内訳・１２臨時財政特例債,Ａの内訳・１３減税補塡債,Ａの内訳・１４臨時税収補塡債,Ａの内訳・１５臨時財政対策債,Ａの内訳・１６減収補塡債特例分(S50･H14～26年度分),Ａの内訳・１７調整債(S60～63年度分),Ａの内訳・１８都道府県貸付金,Ａの内訳・１８都道府県貸付金・うち予算貸付によるもの,Ａの内訳・１９その他,Ａの内訳・Aのうち財源対策債等,Ａの内訳・Aのうち減収補填債,区分
計 ,547821371 ,47136087 ,6929875 ,13147448 ,230000 ,0 ,230000 ,3755574 ,1190835 ,2564739 ,0 ,212960572 ,169400508 ,23518757 ,1077993 ,18285372 ,677942 ,124060960 ,1540220 ,4709024 ,3362715 ,31144384 ,43518 ,190167 ,802800 ,164000 ,10390488 ,13017962 ,89477 ,21185409 ,1220510 ,0 ,69297726 ,9160385 ,-,0 ,4847 ,17987039 ,54180 ,4176887 ,28115284 ,1794281 ,計
千代田区,1703098 ,0 ,0 ,76585 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,330987 ,330987 ,0 ,0 ,0 ,0 ,817317 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41185 ,0 ,0 ,0 ,437024 ,-,0 ,0 ,0 ,0 ,0 ,41185 ,0 ,千
中央区,10586081 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8879557 ,7532557 ,1347000 ,0 ,0 ,0 ,546000 ,0 ,546000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,211900 ,0 ,0 ,86068 ,856278 ,-,0 ,0 ,0 ,0 ,6278 ,211900 ,0 ,中
港区,3785973 ,0 ,0 ,728344 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,493208 ,493208 ,0 ,0 ,0 ,0 ,315002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,761503 ,0 ,60259 ,0 ,0 ,0 ,562568 ,-,0 ,0 ,6200 ,0 ,858889 ,60259 ,0 ,港
新宿区,20232177 ,1637863 ,0 ,1557007 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6770831 ,3802376 ,1840357 ,0 ,1128098 ,0 ,5143082 ,0 ,118000 ,1492273 ,136954 ,0 ,0 ,0 ,28000 ,0 ,70978 ,461 ,874120 ,0 ,0 ,3249628 ,716392 ,-,0 ,0 ,186229 ,0 ,25586 ,874120 ,0 ,新
文京区,8153243 ,0 ,0 ,325899 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2420039 ,2420039 ,0 ,0 ,0 ,0 ,1648604 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,168187 ,0 ,0 ,3036075 ,327393 ,-,0 ,0 ,207180 ,0 ,19866 ,168187 ,168187 ,文
台東区,14448220 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1489730 ,749169 ,307320 ,433241 ,0 ,0 ,5879648 ,0 ,110018 ,17183 ,0 ,0 ,0 ,0 ,0 ,0 ,1410373 ,0 ,0 ,17000 ,0 ,1722379 ,402819 ,-,0 ,0 ,411859 ,8400 ,3114412 ,0 ,420459 ,台
墨田区,29686998 ,3236087 ,21376 ,1496311 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8063517 ,5656757 ,571013 ,0 ,1835747 ,0 ,8361455 ,248060 ,0 ,0 ,3108916 ,0 ,0 ,0 ,0 ,0 ,325035 ,0 ,1783958 ,138160 ,0 ,2409355 ,349110 ,-,0 ,0 ,3493214 ,0 ,30796 ,1805334 ,138160 ,墨
江東区,25632745 ,454400 ,0 ,0 ,230000 ,0 ,230000 ,0 ,0 ,0 ,0 ,20684166 ,17048747 ,1624544 ,0 ,2010875 ,0 ,2440000 ,0 ,0 ,0 ,330000 ,0 ,0 ,0 ,0 ,0 ,191134 ,0 ,1165951 ,0 ,0 ,0 ,0 ,-,0 ,0 ,463717 ,10800 ,3377 ,1165951 ,0 ,江
品川区,18092587 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11987148 ,11987148 ,0 ,0 ,0 ,0 ,753670 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83112 ,0 ,217766 ,0 ,0 ,4489944 ,528155 ,-,0 ,0 ,32792 ,0 ,0 ,217766 ,0 ,品
