区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13101,千代田区,67,67,67,67,67,67,59,59,59,59,59,59,27,27,27,27,27,27,0,0,0,0,0,0
13102,中央区,99,99,99,99,99,99,49,49,49,49,49,49,36,36,36,36,36,36,0,0,0,0,0,0
13103,港区,187,187,187,187,187,187,79,79,79,79,79,79,58,58,58,58,58,58,0,0,0,0,0,0
13104,新宿区,54,54,54,54,54,54,60,60,60,60,60,60,20,20,20,20,20,20,0,0,0,0,0,0
13105,文京区,29,29,29,29,29,29,31,31,31,31,31,31,11,11,11,11,11,11,0,0,0,0,0,0
13106,台東区,72,72,72,72,72,72,66,66,66,66,66,66,37,37,37,37,37,37,0,0,0,0,0,0
13107,墨田区,131,124,124,131,124,124,98,96,95,98,96,95,62,62,61,62,62,61,0,0,0,0,0,0
13108,江東区,332,328,326,332,328,326,145,145,145,145,145,145,126,125,125,126,125,125,0,0,0,0,0,0
13109,品川区,132,121,120,130,121,120,80,79,78,80,78,78,66,65,64,66,65,64,0,0,0,0,0,0
13110,目黒区,69,60,59,68,60,59,44,43,42,44,43,42,33,32,32,33,32,32,1,1,1,1,1,1
13111,大田区,297,261,259,292,260,258,136,134,133,135,133,132,203,199,198,202,199,198,1,1,1,1,1,1
13112,世田谷区,231,189,188,227,189,187,207,171,169,204,170,169,97,94,92,97,93,92,6,5,5,6,5,5
13113,渋谷区,88,87,87,88,87,87,63,63,63,63,63,63,25,25,25,25,25,25,1,1,1,1,1,1
13114,中野区,29,28,28,29,28,28,40,39,38,40,38,38,12,12,12,12,12,11,1,1,0,1,1,0
13115,杉並区,93,84,81,92,83,81,113,100,98,112,100,97,40,35,33,40,35,33,9,7,6,9,7,6
13116,豊島区,41,40,40,40,40,39,43,42,42,43,42,42,11,10,10,11,10,10,0,0,0,0,0,0
13117,北区,77,76,76,77,76,76,66,66,66,66,66,66,19,19,19,19,19,19,1,1,1,1,1,1
13118,荒川区,93,90,90,93,90,90,82,81,81,82,81,81,34,34,34,34,34,34,1,1,1,1,1,1
13119,板橋区,77,76,76,77,76,76,83,81,81,82,81,81,17,17,16,17,17,16,2,2,2,2,2,2
13120,練馬区,67,63,61,67,63,61,107,90,88,106,90,88,20,18,17,20,18,17,5,4,4,5,4,4
13121,足立区,274,254,249,273,253,249,237,220,219,236,219,218,80,79,78,80,78,78,3,3,3,3,3,3
13122,葛飾区,127,119,118,126,119,118,104,100,99,103,100,99,54,54,53,54,54,53,0,0,0,0,0,0
13123,江戸川区,221,204,198,215,201,196,75,74,73,75,73,73,93,92,91,92,91,91,1,1,0,1,1,0
13201,八王子市,27,26,26,27,26,26,97,94,93,96,94,93,40,39,39,40,39,38,76,74,73,76,73,73
13202,立川市,5,5,5,5,5,5,22,22,22,22,22,22,4,3,3,4,3,3,89,84,82,89,84,82
13203,武蔵野市,18,17,16,18,17,16,29,26,26,29,26,26,8,7,7,8,7,7,6,6,6,6,6,6
13204,三鷹市,22,21,21,22,21,21,31,29,28,30,29,28,8,8,8,8,8,8,5,5,5,5,5,5
13205,青梅市,1,1,1,1,1,1,15,15,15,15,15,15,1,1,1,1,1,1,34,33,33,34,33,33
13206,府中市,28,27,27,28,27,27,34,33,33,34,33,33,11,11,11,11,11,11,35,33,33,34,33,33
13207,昭島市,2,2,2,2,2,2,17,16,16,16,16,16,2,2,2,2,2,2,56,52,51,56,52,51
13208,調布市,29,28,28,29,28,28,32,31,31,32,31,31,10,10,10,10,10,10,2,2,2,2,2,2
13209,町田市,40,39,39,40,39,39,70,66,66,70,66,66,58,56,56,57,56,56,7,7,7,7,7,7
