番号,項目,回答数（人）,普段より多く消費した_回答数（人）,普段より多く消費した_回答数（%）,普段と同じ程度の消費だった_回答数（人）,普段と同じ程度の消費だった_回答数（%）,普段より少ない消費だった_回答数（人）,普段より少ない消費だった_回答数（%）
1,400万円未満（n=556),556,165,53.1,130,44.4,261,2.5
2,"400万円以上(n=1,939)",1939,726,64.4,523,34.5,690,1.1
全体,,2980,,,,,,
