番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),383,25
2,ほぼ変わらない（±5%未満）,645,42.1
3,少し減少した（5-20%未満）,308,20.1
4,かなり減少した（20%以上）,197,12.9
全体,,1533,100
