,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
単身世帯(20歳未満),22475,21489,20096,17776,15265,14078,13752,13211,12749,12253,11708,11128,10539,9977,9443,8932,8444,7972,7513
単身世帯(20～24),90765,75487,69321,62231,56745,53275,51022,47736,44797,42791,40921,38891,36660,34366,32343,30488,28637,26905,25266
単身世帯(25～29),84538,73088,65160,61854,57136,53638,53583,50111,46945,44306,42482,40732,38734,36507,34237,32267,30480,28681,26970
単身世帯(30～34),64262,52639,45896,40957,39002,36548,36292,35454,33028,30918,29250,28081,26936,25597,24099,22586,21289,20123,18947
単身世帯(35～39),60938,49192,39996,34479,30818,29894,29551,28692,27971,25970,24283,22993,22078,21166,20096,18899,17698,16678,15766
単身世帯(40～44),51292,55711,45471,37042,32259,30314,30966,29935,29015,28239,26150,24422,23131,22207,21278,20184,18961,17743,16713
単身世帯(45～49),42212,53601,60739,51512,43799,40223,39752,39757,38406,37199,36160,33432,31203,29559,28375,27174,25765,24191,22626
単身世帯(50～54),32363,43309,54748,61772,52758,46456,44771,43351,43363,41887,40565,39418,36421,33988,32209,30925,29615,28075,26355
単身世帯(55～59),36771,36371,49542,63123,72709,60654,56080,52943,51305,51352,49629,48080,46733,43179,40305,38217,36708,35162,33339
単身世帯(60～64),44244,38448,38335,51308,65064,69609,60999,55304,52230,50661,50757,49090,47589,46275,42765,39937,37890,36411,34886
単身世帯(65～69),38531,48560,42941,40174,54628,63279,64441,55370,50241,47458,46063,46179,44686,43340,42153,38962,36395,34543,33205
単身世帯(70～74),36729,44149,51633,41726,41737,49871,57913,59086,50826,46172,43618,42354,42498,41151,39936,38847,35914,33559,31863
単身世帯(75～79),35579,41366,47094,55632,44903,40498,44058,51236,52431,45162,41106,38810,37697,37876,36713,35664,34687,32077,29988
単身世帯(80～84),27308,36760,41539,49193,53020,42523,34824,42798,49929,51334,44340,40455,38229,37184,37433,36341,35354,34409,31847
単身世帯(85歳以上),20213,29217,39678,51620,60045,69242,63865,65715,73066,83938,93905,97632,98852,99175,99528,100735,101605,102239,102655
核家族世帯(20歳未満),155,171,179,172,156,144,132,127,123,118,113,107,101,96,91,86,81,77,72
核家族世帯(20～24),4154,4355,4605,4664,4508,4252,3819,3572,3352,3202,3064,2911,2743,2571,2419,2280,2141,2011,1888
核家族世帯(25～29),27656,25067,23835,23614,22613,21297,19971,18679,17495,16512,15832,15194,14444,13608,12758,12022,11355,10684,10045
核家族世帯(30～34),66579,58381,55038,53365,53056,49887,46430,45404,42308,39603,37471,35974,34539,32815,30886,28942,27278,25783,24274
核家族世帯(35～39),102216,83149,73901,69222,66569,64776,60023,58248,56851,52803,49373,46760,44904,43093,40907,38463,36014,33937,32081
核家族世帯(40～44),111617,112609,92302,81323,75071,70860,67851,65565,63524,61883,57319,53533,50715,48695,46697,44290,41601,38923,36664
核家族世帯(45～49),105311,114944,118126,97534,85544,79020,73305,73271,70754,68499,66661,61647,57540,54528,52355,50189,47580,44666,41773
核家族世帯(50～54),89911,104644,114924,118133,97687,86261,78142,75748,75727,73126,70790,68878,63658,59413,56330,54101,51867,49166,46146
核家族世帯(55～59),93561,85063,100561,111290,114828,96241,83368,78901,76565,76595,74006,71670,69764,64479,60199,57113,54880,52634,49902
核家族世帯(60～64),112202,85359,77419,89963,98216,104903,86322,78185,74073,71983,72086,69706,67554,65810,60849,56842,53971,51893,49798
核家族世帯(65～69),100155,103203,80326,72943,85763,97994,95568,82250,74569,70704,68784,68932,66701,64678,63045,58310,54493,51771,49800
核家族世帯(70～74),85662,91444,96002,74702,68030,81211,90214,92174,79471,72151,68486,66699,66911,64802,62886,61339,56760,53074,50454
核家族世帯(75～79),66015,72871,78608,81855,62376,56903,72350,84202,86400,74709,67998,64649,63080,63390,61485,59749,58345,54040,50579
核家族世帯(80～84),37623,50030,56738,61295,64026,52152,47464,63208,73945,76365,66346,60603,57795,56566,57001,55423,53977,52810,48993
核家族世帯(85歳以上),19284,27195,37586,46106,53021,61573,61953,63916,74660,88660,100686,104416,104940,104765,104896,106119,106856,107258,107511
その他世帯(20歳未満),307,296,282,249,220,203,189,181,175,168,161,153,145,137,130,123,116,109,103
その他世帯(20～24),4663,4045,3769,3338,3049,2859,2606,2439,2289,2187,2090,1987,1873,1756,1653,1559,1464,1376,1292
その他世帯(25～29),6249,5581,5213,4907,4572,4285,4076,3812,3571,3370,3231,3098,2946,2777,2604,2454,2318,2182,2051
その他世帯(30～34),5363,4851,4583,4284,4208,3935,3719,3634,3386,3169,2999,2879,2762,2625,2471,2316,2183,2063,1942
その他世帯(35～39),6088,5652,5427,5168,5087,4920,4629,4493,4383,4071,3806,3605,3461,3321,3153,2964,2776,2616,2473
その他世帯(40～44),7183,8089,7652,7225,7108,6666,6480,6262,6068,5910,5474,5112,4843,4650,4459,4229,3972,3717,3501
その他世帯(45～49),8752,9383,10228,8776,8092,7423,6989,6987,6748,6534,6356,5878,5486,5198,4991,4783,4534,4257,3981
その他世帯(50～54),9739,10664,11968,12738,11089,9735,8945,8668,8667,8370,8104,7882,7284,6798,6444,6188,5930,5622,5277
その他世帯(55～59),11881,10544,12474,14061,15577,12971,11409,10791,10469,10474,10120,9802,9538,8815,8229,7807,7501,7192,6819
その他世帯(60～64),13963,11714,11093,13165,15499,16467,13752,12458,11796,11459,11476,11098,10756,10474,9684,9045,8587,8256,7920
その他世帯(65～69),9988,12505,11055,10454,13116,14899,14748,12688,11505,10901,10599,10623,10279,9968,9712,8981,8393,7972,7667
その他世帯(70～74),7172,8109,10079,8538,8303,9823,11078,11315,9749,8853,8393,8167,8194,7935,7701,7506,6944,6492,6169
その他世帯(75～79),5794,5836,6436,7175,5787,5236,6560,7632,7823,6753,6147,5827,5675,5702,5530,5373,5238,4848,4535
その他世帯(80～84),4456,5132,5534,5979,6745,5439,4984,6417,7498,7730,6699,6117,5812,5674,5715,5553,5406,5278,4892
その他世帯(85歳以上),3718,4986,6670,7993,9480,10939,11172,11515,13215,15513,17527,18192,18330,18331,18368,18585,18725,18812,18867
