町村・島,揺れによる木造全壊棟数,揺れによる非木造全壊棟数,揺れによる全壊棟数合計,揺れによる木造大規模半壊棟数,揺れによる非木造大規模半壊棟数,揺れによる大規模半壊棟数合計,揺れによる木造半壊棟数,揺れによる非木造半壊棟数,揺れによる半壊棟数合計,急傾斜地崩壊による木造全壊棟数,急傾斜地崩壊による非木造全壊棟数,急傾斜地崩壊による全壊棟数合計,急傾斜地崩壊による木造大規模半壊棟数,急傾斜地崩壊による非木造大規模半壊棟数,急傾斜地崩壊による大規模半壊棟数合計,急傾斜地崩壊による木造半壊棟数,急傾斜地崩壊による非木造半壊棟数,急傾斜地崩壊による半壊棟数合計,津波による木造全壊棟数,津波による非木造全壊棟数,津波による全壊棟数合計,津波による木造大規模半壊棟数,津波による非木造大規模半壊棟数,津波による大規模半壊棟数合計,津波による木造半壊棟数,津波による非木造半壊棟数,津波による半壊棟数合計
大島町,0,0,0,5.754011759,0.216213782,5.970225541,53.16866579,3.885866956,57.05453275,5.436,0,5.436,5.754011759,0.216213782,5.970225541,12.48728364,0,12.48728364,21,10,31,35,26,61,18,10,28
利島村,0,0,0,0.062378616,0.003009044,0.065387661,0.677334361,0.058543127,0.735877488,3.72,0,3.72,0.062378616,0.003009044,0.065387661,8.544608113,0,8.544608113,0,4,4,0,0,0,0,0,0
新島村新島,0,0,0,0.324993223,0.106695007,0.43168823,2.833493156,1.914570772,4.748063929,5.268,0,5.268,0.324993223,0.106695007,0.43168823,8.582406671,0,8.582406671,346,426,772,54,79,133,30,36,66
新島村式根島,0,0,0,0.183858485,0.011865043,0.195723528,1.916664215,0.234318725,2.150982941,0,0,0,0.183858485,0.011865043,0.195723528,0,0,0,9,7,16,3,4,7,2,1,3
神津島村,0,0,0,0.500381322,0.073307484,0.573688806,4.922302423,1.359388967,6.28169139,8.364,0,8.364,0.500381322,0.073307484,0.573688806,17.22144257,0,17.22144257,102,76,178,12,9,21,6,4,10
三宅村,0,0,0,0.000376675,9.27875E-05,0.000469463,0.005480452,0.002155622,0.007636075,0,0,0,0.000376675,9.27875E-05,0.000469463,0,0,0,96,13,109,23,9,32,15,3,18
御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八丈町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,26,18,35,53,8,13,21
青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小笠原村父島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,24,4,44,48,2,18,20
小笠原村母島,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,1,1
