X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-21445,-232785,139.60145132,33.90127018,4.3190
-21145,-232805,139.60469564,33.90109592,4.3253
-21335,-232815,139.60264146,33.90100192,4.3001
-21325,-232815,139.60274958,33.90100213,4.2535
-21315,-232815,139.60285771,33.90100233,4.2653
-21305,-232815,139.60296584,33.90100253,4.1892
-21295,-232815,139.60307397,33.90100273,4.1242
-21285,-232815,139.60318209,33.90100293,4.1958
-21275,-232815,139.60329022,33.90100314,4.2313
-21265,-232815,139.60339835,33.90100334,4.1447
-21255,-232815,139.60350648,33.90100354,4.1710
-21245,-232815,139.60361460,33.90100374,4.1870
-21235,-232815,139.60372273,33.90100394,4.1724
-21225,-232815,139.60383086,33.90100415,4.1266
-21215,-232815,139.60393899,33.90100435,4.1392
-21195,-232815,139.60415524,33.90100475,4.1754
-21185,-232815,139.60426337,33.90100495,4.1610
-21175,-232815,139.60437150,33.90100515,4.1541
-21385,-232825,139.60210106,33.90091075,4.4237
-21355,-232825,139.60242544,33.90091136,4.3557
-21345,-232825,139.60253357,33.90091156,4.3252
-21335,-232825,139.60264170,33.90091176,4.3297
-21325,-232825,139.60274983,33.90091196,4.2844
-21315,-232825,139.60285795,33.90091217,4.4092
-21305,-232825,139.60296608,33.90091237,4.4184
-21245,-232825,139.60361485,33.90091358,4.1787
-21235,-232825,139.60372297,33.90091378,4.2491
-21225,-232825,139.60383110,33.90091398,4.2352
-21215,-232825,139.60393923,33.90091418,4.2022
-21205,-232825,139.60404736,33.90091439,4.1874
-21195,-232825,139.60415548,33.90091459,4.2306
-21185,-232825,139.60426361,33.90091479,4.2062
-21175,-232825,139.60437174,33.90091499,4.1545
-21165,-232825,139.60447987,33.90091519,4.2221
-21125,-232825,139.60491238,33.90091599,4.6328
-21115,-232825,139.60502050,33.90091619,4.6567
-21545,-232835,139.60037127,33.90081733,4.6192
-21475,-232835,139.60112816,33.90081875,4.8121
-21465,-232835,139.60123629,33.90081896,4.7491
-21455,-232835,139.60134441,33.90081916,4.6328
-21445,-232835,139.60145254,33.90081937,4.5520
-21435,-232835,139.60156067,33.90081957,4.4467
-21425,-232835,139.60166880,33.90081977,4.4773
-21415,-232835,139.60177692,33.90081998,4.5160
-21405,-232835,139.60188505,33.90082018,4.4889
-21395,-232835,139.60199318,33.90082038,4.4334
-21385,-232835,139.60210131,33.90082058,4.4925
-21375,-232835,139.60220943,33.90082079,4.4724
-21365,-232835,139.60231756,33.90082099,4.4590
-21355,-232835,139.60242569,33.90082119,4.4400
-21345,-232835,139.60253381,33.90082140,4.4252
-21335,-232835,139.60264194,33.90082160,4.3260
-21205,-232835,139.60404760,33.90082422,4.2559
-21195,-232835,139.60415573,33.90082442,4.4281
-21175,-232835,139.60437198,33.90082483,4.3225
-21165,-232835,139.60448011,33.90082503,4.3905
-21135,-232835,139.60480449,33.90082563,4.7283
-21125,-232835,139.60491262,33.90082583,4.7349
-21115,-232835,139.60502074,33.90082603,4.7332
-21105,-232835,139.60512887,33.90082623,4.6830
-21095,-232835,139.60523700,33.90082643,4.6183
-21065,-232835,139.60556138,33.90082703,4.4880
-21555,-232845,139.60026339,33.90072696,4.6683
-21545,-232845,139.60037151,33.90072716,4.7117
-21535,-232845,139.60047964,33.90072737,4.7126
-21525,-232845,139.60058777,33.90072757,4.8620
-21515,-232845,139.60069589,33.90072778,4.9375
-21505,-232845,139.60080402,33.90072798,4.9984
-21495,-232845,139.60091215,33.90072818,5.0166
-21485,-232845,139.60102028,33.90072839,5.0561
-21475,-232845,139.60112840,33.90072859,4.8719
-21465,-232845,139.60123653,33.90072879,4.7515
-21455,-232845,139.60134466,33.90072900,4.7090
-21445,-232845,139.60145279,33.90072920,4.8302
-21095,-232845,139.60523724,33.90073627,4.6314
-21085,-232845,139.60534537,33.90073647,4.6152
-21075,-232845,139.60545349,33.90073667,4.5749
-21065,-232845,139.60556162,33.90073687,4.5564
-21055,-232845,139.60566975,33.90073707,4.5905
-21555,-232855,139.60026363,33.90063679,4.7290
-21545,-232855,139.60037176,33.90063700,4.7714
-21535,-232855,139.60047988,33.90063720,4.7318
-21505,-232855,139.60080427,33.90063782,4.9504
-21495,-232855,139.60091239,33.90063802,5.0565
-21485,-232855,139.60102052,33.90063822,4.9847
-21475,-232855,139.60112865,33.90063843,4.9100
-21465,-232855,139.60123677,33.90063863,4.9872
-21085,-232855,139.60534561,33.90064630,4.8166
-21075,-232855,139.60545373,33.90064650,4.6638
-21065,-232855,139.60556186,33.90064670,4.6119
-21055,-232855,139.60566999,33.90064690,4.6600
-21575,-232865,139.60004762,33.90054622,4.6043
-21565,-232865,139.60015575,33.90054643,4.6497
-21555,-232865,139.60026388,33.90054663,4.8245
-21075,-232865,139.60545397,33.90055634,4.8448
-21065,-232865,139.60556210,33.90055654,4.6743
-21055,-232865,139.60567023,33.90055674,4.7051
-21045,-232865,139.60577835,33.90055694,4.7114
-21035,-232865,139.60588648,33.90055714,4.6729
-21025,-232865,139.60599461,33.90055734,4.6986
-21585,-232875,139.59993974,33.90045585,4.6218
-21575,-232875,139.60004787,33.90045606,4.6753
-21565,-232875,139.60015599,33.90045626,4.7047
-21065,-232875,139.60556234,33.90046638,4.7752
-21055,-232875,139.60567047,33.90046658,4.7665
-21045,-232875,139.60577859,33.90046678,4.7481
-21035,-232875,139.60588672,33.90046698,4.7241
-21025,-232875,139.60599485,33.90046718,4.7394
-21595,-232885,139.59983186,33.90036549,4.6835
-21585,-232885,139.59993999,33.90036569,4.7351
-21575,-232885,139.60004811,33.90036590,4.7538
-21035,-232885,139.60588696,33.90037682,4.8206
-21025,-232885,139.60599509,33.90037701,4.7817
-21015,-232885,139.60610321,33.90037721,4.8180
-21005,-232885,139.60621134,33.90037741,4.9196
-21615,-232895,139.59961585,33.90027491,4.8202
-21605,-232895,139.59972398,33.90027512,4.8098
-21595,-232895,139.59983211,33.90027532,4.7796
-21585,-232895,139.59994023,33.90027553,4.8353
