市町村名,歳入合計（千円）,1地方税（千円）,2地方譲与税（千円）,地方譲与税の内訳・(1)地方揮発油譲与税（千円）,地方譲与税の内訳・(2)自動車重量譲与税（千円）,地方譲与税の内訳・(3)航空機燃料譲与税（千円）,3利子割交付金（千円）,4配当割交付金（千円）,5株式等譲渡所得割交付金（千円）,6地方消費税交付金（千円）,7ゴルフ場利用税交付金（千円）,8特別地方消費税交付金（千円）,9自動車取得税交付金（千円）,10地方特例交付金（千円）,11地方交付税（千円）,地方交付税の内訳・(1)普通交付税（千円）,地方交付税の内訳・(2)特別交付税（千円）,地方交付税の内訳・(3)震災復興特別交付税（千円）,12交通安全対策特別交付金（千円）,13分担金及び負担金（千円）,分担金及び負担金の内訳・(1)同級他団体からのもの（千円）,分担金及び負担金の内訳・(2)その他からのもの（千円）,14使用料（千円）,使用料の内訳・(1)授業料（千円）,使用料の内訳・授業料の内訳・①幼稚園（千円）,使用料の内訳・授業料の内訳・②その他（千円）,使用料の内訳・(2)保育所使用料（千円）,使用料の内訳・(3)公営住宅使用料（千円）,使用料の内訳・(4)その他（千円）,15手数料（千円）,手数料の内訳・(1)法定受託事務に係るもの（千円）,手数料の内訳・(2)自治事務に係るもの（千円）,16国庫支出金（千円）,国庫支出金の内訳・(1)生活保護費負担金（千円）,国庫支出金の内訳・(2)児童保護費等負担金（千円）,国庫支出金の内訳・(3)障害者自立支援給付費等負担金（千円）,国庫支出金の内訳・(4)子どものための金銭の給付交付金（千円）,国庫支出金の内訳・(5)普通建設事業費支出金（千円）,国庫支出金の内訳・(6)災害復旧事業費支出金（千円）,国庫支出金の内訳・(7)委託金（千円）,国庫支出金の内訳・委託金の内訳・①普通建設事業費（千円）,国庫支出金の内訳・委託金の内訳・②災害復旧事業費（千円）,国庫支出金の内訳・委託金の内訳・③その他（千円）,国庫支出金の内訳・(8)財政補給金（千円）,国庫支出金の内訳・(9)社会資本整備総合交付金（千円）,国庫支出金の内訳・(10)特定防衛施設周辺整備調整交付金（千円）,国庫支出金の内訳・(11)がんばる地域交付金（千円）,国庫支出金の内訳・(12)その他（千円）,17国有提供施設等所在市町村助成交付金（千円）,18都道府県支出金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・①児童保護費（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・②障害者自立支援（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・③子どものための金銭の給付交付金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・④普通建設事（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑤災害復旧事（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金・委託金の内訳・（ア）普通建設事業（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金・委託金の内訳・（イ）災害復旧事業（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑥委託金・委託金の内訳・（ウ）その他（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑦電源立地地域対策交付金（千円）,都道府県支出金の内訳・(1)国庫財源を伴うもの・国庫財源を伴うものの内訳・⑧その他（千円）,都道府県支出金の内訳・(2)都費のみのもの（千円）,都道府県支出金の内訳・(2)都費のみのもの・都費のみのものの内訳・①普通建設事業費支出金（千円）,都道府県支出金の内訳・(2)都費のみのもの・都費のみのものの内訳・②災害復旧事業費支出金（千円）,都道府県支出金の内訳・(2)都費のみのもの・都費のみのものの内訳・③その他（千円）,19財産収入（千円）,財産収入の内訳・(1)財産運用収入（千円）,財産収入の内訳・(2)財産売払収入（千円）,財産収入の内訳・(2)財産売払収入・財産売払収入の内訳・①土地建物（千円）,財産収入の内訳・(2)財産売払収入・財産売払収入の内訳・②立木竹（千円）,財産収入の内訳・(2)財産売払収入・財産売払収入の内訳・③その他（千円）,20寄附金（千円）,21繰入金（千円）,22繰越金（千円）,繰越金の内訳・(1)純繰越金（千円）,繰越金の内訳・(2)繰越事業費等充当財源繰越額（千円）,23諸収入（千円）,諸収入の内訳・(1)延滞金加算金及び過料（千円）,諸収入の内訳・(2)預金利子（千円）,諸収入の内訳・(3)公営企業貸付金元利収入（千円）,諸収入の内訳・(4)貸付金元利収入（千円）,諸収入の内訳・(5)受託事業収入（千円）,諸収入の内訳・(5)受託事業収入・受託事業収入の内訳・①同級他団体からのもの（千円）,諸収入の内訳・(5)受託事業収入・受託事業収入の内訳・②民間からのもの（千円）,諸収入の内訳・(6)収益事業収入（千円）,諸収入の内訳・(7)雑入（千円）,諸収入の内訳・(7)雑入・雑入の内訳・①一部事務組合配分金（千円）,諸収入の内訳・(7)雑入・雑入の内訳・②その他（千円）,24地方債（千円）,区分
市町村計,1575847694 ,726939272 ,6605221 ,1974696 ,4620123 ,10402 ,5287172 ,6667803 ,5605929 ,54459826 ,381829 ,0 ,2198993 ,2857964 ,57302521 ,49124173 ,8177090 ,1258 ,508504 ,12990424 ,877399 ,12113025 ,17565012 ,84347 ,68032 ,16315 ,3860468 ,2317475 ,11302722 ,14852420 ,530572 ,14321848 ,250284318 ,99896584 ,16439128 ,31144465 ,44422372 ,8288399 ,2022837 ,1522047 ,0 ,35612 ,1486435 ,536179 ,11722317 ,1326330 ,333262 ,32630398 ,3988765 ,212387623 ,62056589 ,8630629 ,15671153 ,9738561 ,8597150 ,2420 ,1531716 ,10959 ,0 ,1520757 ,12455 ,17872505 ,150331034 ,30715473 ,311421 ,119304140 ,6064219 ,1727236 ,4336983 ,4294470 ,5393 ,37120 ,2095168 ,41342113 ,50134300 ,47010336 ,3123964 ,19096481 ,1794606 ,30560 ,126895 ,612721 ,65111 ,55748 ,9363 ,790000 ,15676588 ,641976 ,15034612 ,76231817 ,計
市計,1502931589 ,713044275 ,6268836 ,1876905 ,4391307 ,624 ,5208864 ,6569224 ,5523146 ,53204328 ,380910 ,0 ,2090193 ,2813838 ,41790001 ,37252920 ,4535848 ,1233 ,486155 ,12730980 ,858240 ,11872740 ,16383718 ,84347 ,68032 ,16315 ,3696451 ,1958503 ,10644417 ,14087365 ,513031 ,13574334 ,244117395 ,99896584 ,16085055 ,30487710 ,43547057 ,7457565 ,56586 ,1442941 ,0 ,35612 ,1407329 ,536179 ,11632958 ,1010019 ,213030 ,31751711 ,3095751 ,191298682 ,60089349 ,8450652 ,15343186 ,9537266 ,7962958 ,0 ,1437700 ,10959 ,0 ,1426741 ,4400 ,17353187 ,131209333 ,24810856 ,11526 ,106386951 ,5697231 ,1474159 ,4223072 ,4191745 ,5393 ,25934 ,2031567 ,37634512 ,47985700 ,45360649 ,2625051 ,16958606 ,1778548 ,29142 ,126895 ,523202 ,65111 ,55748 ,9363 ,790000 ,13645708 ,631222 ,13014486 ,73530312 ,市
町村計,72916105 ,13894997 ,336385 ,97791 ,228816 ,9778 ,78308 ,98579 ,82783 ,1255498 ,919 ,0 ,108800 ,44126 ,15512520 ,11871253 ,3641242 ,25 ,22349 ,259444 ,19159 ,240285 ,1181294 ,0 ,0 ,0 ,164017 ,358972 ,658305 ,765055 ,17541 ,747514 ,6166923 ,0 ,354073 ,656755 ,875315 ,830834 ,1966251 ,79106 ,0 ,0 ,79106 ,0 ,89359 ,316311 ,120232 ,878687 ,893014 ,21088941 ,1967240 ,179977 ,327967 ,201295 ,634192 ,2420 ,94016 ,0 ,0 ,94016 ,8055 ,519318 ,19121701 ,5904617 ,299895 ,12917189 ,366988 ,253077 ,113911 ,102725 ,0 ,11186 ,63601 ,3707601 ,2148600 ,1649687 ,498913 ,2137875 ,16058 ,1418 ,0 ,89519 ,0 ,0 ,0 ,0 ,2030880 ,10754 ,2020126 ,2701505 ,町
八王子市,194226573 ,90215867 ,936385 ,280379 ,656006 ,0 ,633561 ,798457 ,670979 ,7599903 ,83908 ,0 ,312959 ,414495 ,4711308 ,4310984 ,400061 ,263 ,73811 ,1783133 ,17446 ,1765687 ,1942574 ,16315 ,0 ,16315 ,264652 ,354712 ,1306895 ,2286498 ,39616 ,2246882 ,33914773 ,14857514 ,2767523 ,4442406 ,6031517 ,770503 ,0 ,198274 ,0 ,0 ,198274 ,0 ,653500 ,0 ,14052 ,4179484 ,1619 ,27138205 ,9295254 ,1383732 ,2220914 ,1329653 ,1787016 ,0 ,193015 ,2664 ,0 ,190351 ,0 ,2380924 ,17842951 ,2563496 ,0 ,15279455 ,298819 ,107333 ,191486 ,173611 ,4811 ,13064 ,158178 ,1466536 ,4764979 ,4677036 ,87943 ,1626126 ,171098 ,2231 ,0 ,1318 ,0 ,0 ,0 ,20000 ,1431479 ,0 ,1431479 ,12393500 ,八
立川市,80055422 ,38882830 ,263061 ,78770 ,184291 ,0 ,216471 ,273101 ,229668 ,2780462 ,0 ,0 ,87830 ,121553 ,36907 ,0 ,36903 ,4 ,23823 ,508301 ,42174 ,466127 ,952940 ,0 ,0 ,0 ,145933 ,141772 ,665235 ,756375 ,18559 ,737816 ,14084290 ,6782281 ,641355 ,1794878 ,1820583 ,558792 ,0 ,99023 ,0 ,0 ,99023 ,0 ,664670 ,153195 ,18497 ,1551016 ,460744 ,8570897 ,2718520 ,320528 ,897438 ,397871 ,206511 ,0 ,6184 ,0 ,0 ,6184 ,0 ,889988 ,5852377 ,1294170 ,0 ,4558207 ,447828 ,40122 ,407706 ,404006 ,0 ,3700 ,72133 ,1080797 ,3475862 ,2895544 ,580318 ,2264449 ,57197 ,940 ,0 ,48519 ,0 ,0 ,0 ,10000 ,2147793 ,0 ,2147793 ,4465100 ,立
武蔵野市,65781055 ,38695467 ,171070 ,51224 ,119846 ,0 ,278849 ,352522 ,296881 ,2135133 ,0 ,0 ,56936 ,45122 ,40497 ,0 ,40370 ,127 ,13164 ,346464 ,34866 ,311598 ,897896 ,0 ,0 ,0 ,110340 ,40812 ,746744 ,713481 ,35489 ,677992 ,8581976 ,2861406 ,270572 ,1089153 ,1208337 ,559566 ,0 ,82535 ,0 ,0 ,82535 ,0 ,420029 ,0 ,3669 ,2086709 ,0 ,5739477 ,1731304 ,135784 ,544565 ,253113 ,278345 ,0 ,10156 ,0 ,0 ,10156 ,0 ,509341 ,4008173 ,1203854 ,0 ,2804319 ,165631 ,133616 ,32015 ,32014 ,0 ,1 ,65033 ,2999338 ,2488995 ,2413835 ,75160 ,585723 ,136069 ,3506 ,0 ,25445 ,0 ,0 ,0 ,20000 ,400703 ,0 ,400703 ,1111400 ,武
三鷹市,67635662 ,37228118 ,249588 ,74710 ,174793 ,85 ,291002 ,366888 ,308397 ,2364680 ,0 ,0 ,82904 ,90782 ,61411 ,0 ,61407 ,4 ,19691 ,376882 ,56570 ,320312 ,980922 ,0 ,0 ,0 ,418140 ,69327 ,493455 ,438113 ,17280 ,420833 ,10106404 ,5098896 ,371001 ,1280250 ,1809185 ,42337 ,0 ,54658 ,0 ,0 ,54658 ,0 ,360146 ,0 ,0 ,1089931 ,0 ,7342176 ,2173736 ,185342 ,640125 ,388941 ,40174 ,0 ,68089 ,0 ,0 ,68089 ,0 ,851065 ,5168440 ,1084324 ,0 ,4084116 ,1044776 ,32078 ,1012698 ,1012695 ,0 ,3 ,94517 ,552399 ,1450388 ,1423492 ,26896 ,511324 ,86182 ,1184 ,0 ,10000 ,0 ,0 ,0 ,0 ,413958 ,0 ,413958 ,3674300 ,三
青梅市,48324413 ,20452087 ,273011 ,81749 ,191262 ,0 ,140168 ,176873 ,148766 ,1835124 ,50524 ,0 ,90896 ,96872 ,2685496 ,2453194 ,232222 ,80 ,21535 ,946760 ,36912 ,909848 ,499642 ,0 ,0 ,0 ,0 ,155135 ,344507 ,562686 ,16347 ,546339 ,7921653 ,3438542 ,903599 ,834147 ,1462199 ,105265 ,56586 ,37728 ,0 ,0 ,37728 ,0 ,72700 ,0 ,3596 ,1007291 ,0 ,6519836 ,2141806 ,449623 ,417370 ,327370 ,217278 ,0 ,49365 ,0 ,0 ,49365 ,4400 ,676400 ,4378030 ,452323 ,0 ,3925707 ,145109 ,62682 ,82427 ,82427 ,0 ,0 ,3594 ,1341043 ,1177258 ,1098426 ,78832 ,846193 ,95925 ,0 ,0 ,41000 ,0 ,0 ,0 ,220000 ,489268 ,0 ,489268 ,2389287 ,青
府中市,95249189 ,50090687 ,368177 ,110245 ,257932 ,0 ,336654 ,424910 ,357442 ,3544079 ,0 ,0 ,122865 ,189350 ,61091 ,0 ,61091 ,0 ,28235 ,637065 ,20298 ,616767 ,1515717 ,35257 ,35257 ,0 ,367946 ,299418 ,813096 ,1037053 ,32285 ,1004768 ,16626013 ,6946093 ,836176 ,1882927 ,2830873 ,0 ,0 ,70166 ,0 ,0 ,70166 ,277413 ,2223316 ,0 ,1745 ,1557304 ,4181 ,9742468 ,3761777 ,635587 ,941584 ,623396 ,18536 ,0 ,80637 ,0 ,0 ,80637 ,0 ,1462037 ,5980691 ,1153630 ,0 ,4827061 ,608071 ,139822 ,468249 ,468249 ,0 ,0 ,899629 ,1137216 ,3502272 ,3362672 ,139600 ,1395314 ,101800 ,5230 ,0 ,75958 ,0 ,0 ,0 ,300000 ,912326 ,169975 ,742351 ,2620700 ,府
昭島市,44643120 ,19313247 ,167494 ,50153 ,117341 ,0 ,122254 ,154150 ,129584 ,1513383 ,26004 ,0 ,55733 ,79553 ,720544 ,586234 ,134308 ,2 ,12180 ,532101 ,90778 ,441323 ,483069 ,0 ,0 ,0 ,40397 ,0 ,442672 ,423409 ,11240 ,412169 ,9671232 ,3347222 ,710311 ,751147 ,1230174 ,243800 ,0 ,36840 ,0 ,0 ,36840 ,0 ,506253 ,285911 ,5325 ,2554249 ,13107 ,5850241 ,1693425 ,413148 ,375275 ,268829 ,242049 ,0 ,43598 ,0 ,0 ,43598 ,0 ,350526 ,4156816 ,912264 ,0 ,3244552 ,30491 ,5149 ,25342 ,25321 ,0 ,21 ,13132 ,1355390 ,1371514 ,1347119 ,24395 ,620208 ,46294 ,1119 ,0 ,6043 ,0 ,0 ,0 ,20000 ,546752 ,0 ,546752 ,1985100 ,昭
