,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),66.7,62.5,61.0,56.4,53.7,52.7,51.3,49.4,48.1,47.1
定着外国人増加シナリオ(%),66.7,62.8,61.6,57.5,55.1,54.2,52.9,51.4,50.4,49.7
