区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13101,千代田区,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13102,中央区,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1
13103,港区,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1,1,4,0,0,1
13104,新宿区,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
13105,文京区,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
13106,台東区,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0
13107,墨田区,1,3,0,0,1,0,3,0,0,1,0,3,0,0,1,1,3,0,0,1,0,3,0,0,1,0,3,0,0,1
13108,江東区,1,7,0,0,1,1,7,0,0,1,1,7,0,0,1,1,7,0,0,1,1,7,0,0,1,1,7,0,0,1
13109,品川区,1,4,0,0,1,1,4,0,0,1,1,3,0,0,1,1,4,0,0,1,1,4,0,0,1,1,3,0,0,1
13110,目黒区,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13111,大田区,1,4,0,0,1,1,3,0,0,1,1,3,0,0,1,1,4,0,0,1,1,3,0,0,1,1,3,0,0,1
13112,世田谷区,3,7,2,1,1,2,6,2,1,1,2,6,2,1,1,2,7,2,1,1,2,6,2,1,1,2,6,2,1,1
